Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2006,ARI,CHI,6,Mon,8:42PM,1,-32.0%,13.0,-1,12.0,-60.7,-11.74,1.2599999999999998,10.74,"[[15.5, 13.0], [10.0, 8.0]]",1,ARI,1.0
2006,ATL,NYG,6,Sun,1:04PM,1,8.2%,-3.0,-13,-16.0,4.299999999999999,3.16,0.16000000000000014,-16.16,"[[0.5, -1.5], [-4.5, -7.0]]",0,,0.0
2006,BAL,CAR,6,Sun,1:02PM,1,18.0%,-3.0,-2,-5.0,12.2,4.88,1.88,-6.88,"[[-1.0, -3.5], [-6.5, -8.5]]",1,BAL,0.0
2006,BUF,DET,6,Sun,1:03PM,0,-8.1%,-1.0,-3,-4.0,4.9,-1.15,-2.15,-1.85,"[[5.0, 2.5], [-0.5, -2.5]]",1,DET,1.0
2006,CAR,BAL,6,Sun,1:02PM,0,5.8%,3.0,2,5.0,-12.2,-4.88,-1.88,6.88,"[[8.5, 6.5], [3.5, 1.0]]",1,BAL,0.0
2006,CHI,ARI,6,Mon,8:42PM,0,28.7%,-13.0,1,-12.0,60.7,11.74,-1.2599999999999998,-10.74,"[[-8.0, -10.0], [-13.0, -15.5]]",1,ARI,1.0
2006,CIN,TB,6,Sun,1:02PM,0,15.6%,-5.0,-1,-6.0,33.1,5.22,0.21999999999999967,-6.22,"[[-1.5, -3.5], [-6.5, -9.0]]",0,,0.0
2006,DAL,HOU,6,Sun,1:02PM,1,13.2%,-13.0,28,15.0,41.3,10.98,-2.02,17.02,"[[-7.5, -9.5], [-12.5, -14.5]]",1,HOU,0.0
2006,DEN,OAK,6,Sun,8:21PM,1,8.1%,-16.0,10,-6.0,34.9,9.66,-6.34,0.33999999999999986,"[[-6.0, -8.0], [-11.0, -13.5]]",0,,1.0
2006,DET,BUF,6,Sun,1:03PM,1,-13.0%,1.0,3,4.0,-4.9,1.15,2.15,1.85,"[[2.5, 0.5], [-2.5, -5.0]]",1,DET,1.0
2006,HOU,DAL,6,Sun,1:02PM,0,-28.1%,13.0,-28,-15.0,-41.3,-10.98,2.02,-17.02,"[[14.5, 12.5], [9.5, 7.5]]",1,HOU,0.0
2006,KC,PIT,6,Sun,4:15PM,0,20.7%,6.5,-38,-31.5,13.1,0.67,7.17,-38.67,"[[3.0, 1.0], [-2.0, -4.5]]",0,,0.0
