Game,EGO,Spread,Spread Target,Pick
ARI @ SEA,-3.32,3.0,"[2.0, -0.5]",
ATL @ NO,-9.27,3.5,"[8.0, 5.5]",
CIN @ WAS,-3.73,1.0,"[2.0, 0.0]",WAS
DET @ CAR,-2.18,-1.0,"[0.5, -1.5]",CAR
NE @ HOU,-3.29,-2.0,"[2.0, -0.5]",
PHI @ CLE,-3.18,2.5,"[1.5, -0.5]",
PIT @ JAX,5.84,-10.5,"[-7.5, -9.5]",
TEN @ BAL,-4.59,6.0,"[8.5, 6.0]",TEN
MIA @ DEN,3.59,-4.0,"[-5.0, -7.5]",
NYJ @ LAC,-6.88,10.0,"[10.5, 8.5]",NYJ
DAL @ MIN,-6.73,7.0,"[10.5, 8.0]",
GB @ IND,-4.1,1.5,"[2.5, 0.5]",IND
KC @ LV,2.9,-7.5,"[-4.5, -6.5]",
LAR @ TB,-5.07,4.0,"[3.5, 1.5]",
