Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,NE,12,Sun,1:00PM,0,8.5%,-1.0,-3,-4.0,20.6,2.36,1.3599999999999999,-5.359999999999999,"[[1.5, -1.0], [-4.0, -6.0]]",1,ARI,0
2020,ATL,LV,12,Sun,1:00PM,1,-2.9%,3.5,37,40.5,-3.7,1.41,4.91,35.59,Missing Something ...,0,,1
2020,BAL,PIT,12,Wed,3:40PM,0,14.6%,10.0,-5,5.0,-5.799999999999999,-3.49,6.51,-1.5099999999999998,Missing Something ...,0,,1
2020,BUF,LAC,12,Sun,1:00PM,1,4.9%,-4.0,10,6.0,12.9,5.03,1.0300000000000002,4.97,Too Close To Call,0,,1
2020,CAR,MIN,12,Sun,1:00PM,0,-1.3%,3.0,-1,2.0,-3.7,-3.03,-0.029999999999999805,2.03,Too Close To Call,0,,0
2020,CHI,GB,12,Sun,8:20PM,0,0.9%,8.0,-16,-8.0,-8.6,-4.1,3.9000000000000004,-11.9,"[[8.0, 5.5], [2.5, 0.5]]",1,CHI,0
2020,CIN,NYG,12,Sun,1:00PM,1,-21.9%,6.5,-2,4.5,-10.099999999999998,-0.01,6.49,-1.99,Missing Something ...,0,,1
2020,CLE,JAX,12,Sun,1:00PM,0,-6.9%,-7.0,2,-5.0,8.5,-0.35,-7.35,2.35,Missing Something ...,0,,1
2020,DAL,WAS,12,Thu,4:30PM,1,-18.5%,-2.5,-25,-27.5,-3.5,1.45,-1.05,-26.45,Too Close To Call,0,,1
2020,DEN,NO,12,Sun,4:05PM,1,-22.5%,17.0,-28,-11.0,-52.6,-9.8,7.199999999999999,-18.2,Missing Something ...,0,,0
2020,DET,HOU,12,Thu,12:30PM,1,-1.1%,3.0,-16,-13.0,6.1,3.56,6.5600000000000005,-19.56,Missing Something ...,0,,0
2020,GB,CHI,12,Sun,8:20PM,1,9.5%,-8.0,16,8.0,8.6,4.1,-3.9000000000000004,11.9,"[[-0.5, -2.5], [-5.5, -8.0]]",1,CHI,0
2020,HOU,DET,12,Thu,12:30PM,0,-7.2%,-3.0,16,13.0,-6.1,-3.56,-6.5600000000000005,19.56,Missing Something ...,0,,0
2020,IND,TEN,12,Sun,1:00PM,1,18.1%,-3.0,-19,-22.0,14.400000000000002,5.35,2.3499999999999996,-24.35,"[[-1.5, -4.0], [-7.0, -9.0]]",1,IND,0
2020,JAX,CLE,12,Sun,1:00PM,1,-15.4%,7.0,-2,5.0,-8.5,0.35,7.35,-2.35,Missing Something ...,0,,1
2020,KC,TB,12,Sun,4:25PM,0,23.8%,-3.5,3,-0.5,-1.0999999999999979,-2.47,-5.970000000000001,5.470000000000001,Missing Something ...,0,,1
2020,LAC,BUF,12,Sun,1:00PM,0,-8.0%,4.0,-10,-6.0,-12.9,-5.03,-1.0300000000000002,-4.97,Too Close To Call,0,,1
2020,LAR,SF,12,Sun,4:05PM,1,11.8%,-5.5,-3,-8.5,10.4,4.49,-1.0099999999999998,-7.49,Too Close To Call,0,,1
2020,LV,ATL,12,Sun,1:00PM,0,0.8%,-3.5,-37,-40.5,3.7,-1.41,-4.91,-35.59,Missing Something ...,0,,1
2020,MIA,NYJ,12,Sun,1:00PM,0,3.5%,-7.5,17,9.5,33.1,5.22,-2.2800000000000002,11.780000000000001,"[[-1.5, -3.5], [-6.5, -9.0]]",1,NYJ,0
2020,MIN,CAR,12,Sun,1:00PM,1,2.4%,-3.0,1,-2.0,3.7,3.03,0.029999999999999805,-2.03,Too Close To Call,0,,0
2020,NE,ARI,12,Sun,1:00PM,1,-12.1%,1.0,3,4.0,-20.6,-2.36,-1.3599999999999999,5.359999999999999,"[[6.0, 4.0], [1.0, -1.5]]",1,ARI,0
2020,NO,DEN,12,Sun,4:05PM,0,30.1%,-17.0,28,11.0,52.6,9.8,-7.199999999999999,18.2,Missing Something ...,0,,0
2020,NYG,CIN,12,Sun,1:00PM,0,-11.8%,-6.5,2,-4.5,10.099999999999998,0.01,-6.49,1.99,Missing Something ...,0,,1
2020,NYJ,MIA,12,Sun,1:00PM,1,-29.6%,7.5,-17,-9.5,-33.1,-5.22,2.2800000000000002,-11.780000000000001,"[[9.0, 6.5], [3.5, 1.5]]",1,NYJ,0
2020,PHI,SEA,12,Mon,8:15PM,1,-11.3%,6.0,-6,0.0,-24.8,-3.31,2.69,-2.69,"[[7.0, 5.0], [2.0, -0.5]]",1,PHI,1
2020,PIT,BAL,12,Wed,3:40PM,1,20.4%,-10.0,5,-5.0,5.799999999999999,3.49,-6.51,1.5099999999999998,Missing Something ...,0,,1
2020,SEA,PHI,12,Mon,8:15PM,0,13.5%,-6.0,6,0.0,24.8,3.31,-2.69,2.69,"[[0.5, -2.0], [-5.0, -7.0]]",1,PHI,1
2020,SF,LAR,12,Sun,4:05PM,0,1.4%,5.5,3,8.5,-10.4,-4.49,1.0099999999999998,7.49,Too Close To Call,0,,1
2020,TB,KC,12,Sun,4:25PM,1,24.9%,3.5,-3,0.5,1.0999999999999979,2.47,5.970000000000001,-5.470000000000001,Missing Something ...,0,,1
2020,TEN,IND,12,Sun,1:00PM,0,3.7%,3.0,19,22.0,-14.400000000000002,-5.35,-2.3499999999999996,24.35,"[[9.0, 7.0], [4.0, 1.5]]",1,IND,0
2020,WAS,DAL,12,Thu,4:30PM,0,-15.0%,2.5,25,27.5,3.5,-1.45,1.05,26.45,Too Close To Call,0,,1
