Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,NE,12,Sun,November 29,1:00PM,0,boxscore,17,20,179,2,298,1,8.5%,-1.0
ATL,LV,12,Sun,November 29,1:00PM,1,boxscore,43,6,304,1,243,5,-2.9%,3.5
BAL,PIT,12,Wed,December 2,3:40PM,0,boxscore,14,19,334,2,219,2,14.6%,10.0
BUF,LAC,12,Sun,November 29,1:00PM,1,boxscore,27,17,332,3,367,1,4.9%,-4.0
CAR,MIN,12,Sun,November 29,1:00PM,0,boxscore,27,28,387,3,374,1,-1.3%,3.0
CHI,GB,12,Sun,November 29,8:20PM,0,boxscore,25,41,393,0,350,3,0.9%,8.0
CIN,NYG,12,Sun,November 29,1:00PM,1,boxscore,17,19,386,1,155,3,-21.9%,6.5
CLE,JAX,12,Sun,November 29,1:00PM,0,boxscore,27,25,459,1,375,0,-6.9%,-7.0
DAL,WAS,12,Thu,November 26,4:30PM,1,boxscore,16,41,338,1,247,2,-18.5%,-2.5
DEN,NO,12,Sun,November 29,4:05PM,1,boxscore,3,31,292,1,112,3,-22.5%,17.0
DET,HOU,12,Thu,November 26,12:30PM,1,boxscore,25,41,384,1,388,3,-1.1%,3.0
GB,CHI,12,Sun,November 29,8:20PM,1,boxscore,41,25,393,0,350,3,9.5%,-8.0
HOU,DET,12,Thu,November 26,12:30PM,0,boxscore,41,25,384,1,388,3,-7.2%,-3.0
IND,TEN,12,Sun,November 29,1:00PM,1,boxscore,26,45,449,0,336,1,18.1%,-3.0
JAX,CLE,12,Sun,November 29,1:00PM,1,boxscore,25,27,459,1,375,0,-15.4%,7.0
KC,TB,12,Sun,November 29,4:25PM,0,boxscore,27,24,543,1,417,2,23.8%,-3.5
LAC,BUF,12,Sun,November 29,1:00PM,0,boxscore,17,27,332,3,367,1,-8.0%,4.0
LAR,SF,12,Sun,November 29,4:05PM,1,boxscore,20,23,345,3,308,4,11.8%,-5.5
LV,ATL,12,Sun,November 29,1:00PM,0,boxscore,6,43,304,1,243,5,0.8%,-3.5
MIA,NYJ,12,Sun,November 29,1:00PM,0,boxscore,20,3,345,2,260,2,3.5%,-7.5
MIN,CAR,12,Sun,November 29,1:00PM,1,boxscore,28,27,387,3,374,1,2.4%,-3.0
NE,ARI,12,Sun,November 29,1:00PM,1,boxscore,20,17,179,2,298,1,-12.1%,1.0
NO,DEN,12,Sun,November 29,4:05PM,0,boxscore,31,3,292,1,112,3,30.1%,-17.0
NYG,CIN,12,Sun,November 29,1:00PM,0,boxscore,19,17,386,1,155,3,-11.8%,-6.5
NYJ,MIA,12,Sun,November 29,1:00PM,1,boxscore,3,20,345,2,260,2,-29.6%,7.5
PHI,SEA,12,Mon,November 30,8:15PM,1,boxscore,17,23,301,0,250,1,-11.3%,6.0
PIT,BAL,12,Wed,December 2,3:40PM,1,boxscore,19,14,334,2,219,2,20.4%,-10.0
SEA,PHI,12,Mon,November 30,8:15PM,0,boxscore,23,17,301,0,250,1,13.5%,-6.0
SF,LAR,12,Sun,November 29,4:05PM,0,boxscore,23,20,345,3,308,4,1.4%,5.5
TB,KC,12,Sun,November 29,4:25PM,1,boxscore,24,27,543,1,417,2,24.9%,3.5
TEN,IND,12,Sun,November 29,1:00PM,0,boxscore,45,26,449,0,336,1,3.7%,3.0
WAS,DAL,12,Thu,November 26,4:30PM,0,boxscore,41,16,338,1,247,2,-15.0%,2.5
