Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-2.5 / +2.5,HOU,DET,Final,-3.0 / +3.0
+1.5 / -1.5,WAS,DAL,Final,+2.5 / -2.5
+4.0 / -4.0,TEN,IND,Final,+3.0 / -3.0
PK / PK,LV,ATL,Final,-3.5 / +3.5
-6.0 / +6.0,CLE,JAC,Final,-7.0 / +7.0
+6.0 / -6.0,LAC,BUF,Final,+4.0 / -4.0
+3.5 / -3.5,CAR,MIN,Final,+3.0 / -3.0
-7.0 / +7.0,MIA,NYJ,Final,-7.5 / +7.5
+3.0 / -3.0,NYG,CIN,Final,-6.5 / +6.5
PK / PK,ARI,NE,Final,-1.0 / +1.0
-5.5 / +5.5,NO,DEN,Final,-17.0 / +17.0
+7.0 / -7.0,SF,LAR,Final,+5.5 / -5.5
-3.0 / +3.0,KC,TB,Final,-3.5 / +3.5
+7.5 / -7.5,CHI,GB,8:20 PM ET,+8.0 / -8.0
-3.0 / +3.0,SEA,PHI,8:15 PM ET,-6.0 / +6.0
+2.5 / -2.5,BAL,PIT,8:00 PM ET,+10.0 / -10.0
