Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,BUF @ SF,13,Mon,8:15PM,11.90%,1.0,0,1.0,7.800000000000001,-0.5,0.5,0.5,Too Close To Call,0,,
2020,CIN @ MIA,13,Sun,1:00PM,-24.40%,10.5,0,10.5,-37.8,-10.26,0.2400000000000002,10.26,Too Close To Call,0,,
2020,CLE @ TEN,13,Sun,1:00PM,-9.20%,4.5,0,4.5,-17.2,-5.94,-1.4400000000000004,5.94,"[[9.5, 7.5], [4.5, 2.0]]",1,TEN,
2020,DAL @ BAL,13,Tue,8:05PM,-21.80%,7.5,0,7.5,-34.1,-9.5,-2.0,9.5,"[[13.0, 11.0], [8.0, 6.0]]",1,BAL,
2020,DEN @ KC,13,Sun,8:20PM,-24.60%,13.5,0,13.5,-51.5,-13.03,0.47000000000000064,13.03,Too Close To Call,0,,
2020,DET @ CHI,13,Sun,1:00PM,-16.60%,3.0,0,3.0,-13.000000000000002,-5.05,-2.05,5.05,"[[9.0, 6.5], [3.5, 1.5]]",1,CHI,
2020,IND @ HOU,13,Sun,1:00PM,15.70%,-3.0,0,-3.0,20.0,2.23,-0.77,-2.23,Too Close To Call,0,,
2020,JAX @ MIN,13,Sun,1:00PM,-21.60%,10.0,0,10.0,-24.0,-7.38,2.62,7.38,"[[11.0, 9.0], [6.0, 3.5]]",1,JAX,
2020,LAR @ ARI,13,Sun,4:05PM,17.50%,-2.5,0,-2.5,10.7,0.14,-2.36,-0.14,"[[3.5, 1.5], [-1.5, -4.0]]",1,ARI,
2020,LV @ NYJ,13,Sun,1:00PM,-4.00%,-7.5,0,-7.5,36.4,5.98,-1.5199999999999996,-5.98,"[[-2.5, -4.5], [-7.5, -9.5]]",1,NYJ,
2020,NE @ LAC,13,Sun,4:25PM,-13.00%,1.5,0,1.5,6.399999999999999,-0.82,0.68,0.82,Too Close To Call,0,,
2020,NO @ ATL,13,Sun,1:00PM,42.70%,-3.0,0,-3.0,47.2,8.51,5.51,-8.51,Missing Something ...,0,,
2020,NYG @ SEA,13,Sun,4:05PM,-12.40%,10.5,0,10.5,-26.1,-7.83,2.67,7.83,"[[11.5, 9.5], [6.5, 4.0]]",1,NYG,
2020,PHI @ GB,13,Sun,4:25PM,-16.70%,9.0,0,9.0,-33.8,-9.44,-0.4399999999999995,9.44,Too Close To Call,0,,
2020,WAS @ PIT,13,Mon,5:00PM,-4.70%,7.0,0,7.0,-35.5,-9.79,-2.789999999999999,9.79,"[[13.5, 11.5], [8.5, 6.0]]",1,PIT,
