Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ARI,LAR,13,Sun,4:05PM,1,6.80%,2.5,0,2.5
2020,ATL,NO,13,Sun,1:00PM,1,-4.50%,3.0,0,3.0
2020,BAL,DAL,13,Tue,8:05PM,1,12.30%,-7.5,0,-7.5
2020,BUF,SF,13,Mon,8:15PM,0,11.90%,1.0,0,1.0
2020,CHI,DET,13,Sun,1:00PM,1,-3.60%,-3.0,0,-3.0
2020,CIN,MIA,13,Sun,1:00PM,0,-24.40%,10.5,0,10.5
2020,CLE,TEN,13,Sun,1:00PM,0,-9.20%,4.5,0,4.5
2020,DAL,BAL,13,Tue,8:05PM,0,-21.80%,7.5,0,7.5
2020,DEN,KC,13,Sun,8:20PM,0,-24.60%,13.5,0,13.5
2020,DET,CHI,13,Sun,1:00PM,0,-16.60%,3.0,0,3.0
2020,GB,PHI,13,Sun,4:25PM,1,17.10%,-9.0,0,-9.0
2020,HOU,IND,13,Sun,1:00PM,1,-4.30%,3.0,0,3.0
2020,IND,HOU,13,Sun,1:00PM,0,15.70%,-3.0,0,-3.0
2020,JAX,MIN,13,Sun,1:00PM,0,-21.60%,10.0,0,10.0
2020,KC,DEN,13,Sun,8:20PM,1,26.90%,-13.5,0,-13.5
2020,LAC,NE,13,Sun,4:25PM,1,-19.40%,-1.5,0,-1.5
2020,LAR,ARI,13,Sun,4:05PM,0,17.50%,-2.5,0,-2.5
2020,LV,NYJ,13,Sun,1:00PM,0,-4.00%,-7.5,0,-7.5
2020,MIA,CIN,13,Sun,1:00PM,1,13.40%,-10.5,0,-10.5
2020,MIN,JAX,13,Sun,1:00PM,1,2.40%,-10.0,0,-10.0
2020,NE,LAC,13,Sun,4:25PM,0,-13.00%,1.5,0,1.5
2020,NO,ATL,13,Sun,1:00PM,0,42.70%,-3.0,0,-3.0
2020,NYG,SEA,13,Sun,4:05PM,0,-12.40%,10.5,0,10.5
2020,NYJ,LV,13,Sun,1:00PM,1,-40.40%,7.5,0,7.5
2020,PHI,GB,13,Sun,4:25PM,0,-16.70%,9.0,0,9.0
2020,PIT,WAS,13,Mon,5:00PM,1,30.80%,-7.0,0,-7.0
2020,SEA,NYG,13,Sun,4:05PM,1,13.70%,-10.5,0,-10.5
2020,SF,BUF,13,Mon,8:15PM,1,4.10%,-1.0,0,-1.0
2020,TEN,CLE,13,Sun,1:00PM,1,8.00%,-4.5,0,-4.5
2020,WAS,PIT,13,Mon,5:00PM,0,-4.70%,7.0,0,7.0
