TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,14.1%,10,7.1%,12,5-2,7.9%,11,-5.7%,9,0.4%,15
ATL,-13.8%,23,-4.9%,19,1-6,-4.1%,23,8.7%,27,-1.0%,21
BAL,32.8%,2,22.2%,3,5-1,0.9%,19,-18.8%,3,13.1%,1
BUF,3.4%,19,3.9%,13,5-2,7.7%,12,5.9%,21,1.6%,10
CAR,0.6%,16,-6.3%,20,3-4,7.9%,10,7.0%,23,-0.4%,17
CHI,-2.4%,14,-2.2%,16,5-2,-16.6%,26,-15.2%,6,-0.9%,19
CIN,-25.2%,29,-19.6%,31,1-5-1,-18.2%,28,8.4%,26,1.5%,11
CLE,-9.7%,25,-7.2%,24,5-2,4.0%,15,8.0%,24,-5.7%,29
DAL,-26.0%,26,-17.0%,29,2-5,-13.5%,24,12.3%,30,-0.3%,16
DEN,-24.0%,24,-15.8%,28,2-4,-28.1%,31,-8.7%,7,-4.7%,27
DET,2.5%,18,2.5%,14,3-3,2.3%,18,2.7%,18,3.0%,8
GB,15.0%,12,7.9%,11,5-1,20.1%,4,6.1%,22,1.0%,13
HOU,-6.9%,15,-4.0%,18,1-6,4.6%,14,10.7%,29,-0.9%,18
IND,23.3%,4,14.9%,6,4-2,-3.0%,22,-18.8%,4,7.5%,2
JAX,-24.7%,28,-17.8%,30,1-6,0.1%,20,20.0%,32,-4.8%,28
KC,25.7%,6,23.6%,2,6-1,25.1%,1,-2.2%,13,-1.7%,24
LAC,-3.4%,20,-2.4%,17,2-4,5.3%,13,-3.0%,12,-11.7%,32
LAR,20.5%,9,13.3%,7,5-2,19.0%,5,-4.2%,11,-2.7%,25
LV,-10.5%,21,-6.9%,23,3-3,9.2%,9,18.4%,31,-1.3%,22
MIA,8.8%,11,-6.7%,21,3-3,3.4%,16,0.7%,14,6.1%,3
MIN,-2.7%,17,-1.8%,15,1-5,-0.2%,21,1.5%,15,-1.0%,20
NE,-20.8%,22,-10.0%,25,2-4,-14.9%,25,8.3%,25,2.4%,9
NO,21.1%,7,18.5%,4,4-2,11.1%,7,-5.7%,10,4.3%,7
NYG,-25.1%,30,-15.8%,27,1-6,-25.3%,30,4.2%,19,4.4%,6
NYJ,-43.9%,32,-28.2%,32,0-7,-31.9%,32,5.6%,20,-6.4%,30
PHI,-19.9%,31,-6.8%,22,2-4-1,-16.7%,27,1.8%,16,-1.5%,23
PIT,27.3%,3,17.1%,5,6-0,2.8%,17,-19.4%,2,5.0%,5
SEA,17.4%,5,12.4%,8,5-1,21.0%,2,8.9%,28,5.3%,4
SF,19.7%,13,12.1%,9,4-3,10.9%,8,-7.5%,8,1.3%,12
TB,45.0%,1,27.2%,1,5-2,14.6%,6,-29.9%,1,0.5%,14
TEN,11.6%,8,8.1%,10,5-1,20.7%,3,2.3%,17,-6.8%,31
WAS,-7.9%,27,-13.3%,26,2-5,-22.7%,29,-18.0%,5,-3.3%,26
