Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO Pick Correct
6,-13.74,-0.7400000000000002,28.0,100.0,0.0,-0.31586085924352075,42.0,72.0,0.0,0.7033185098727819,6.0,91.0,0.0,0.922335601180974,46.0,29.0,5.44474359761715,0.8378308385978931,58.0,87.0,0.0,-0.4762620148130259,37.0,71.0,12.553325272067713,-0.8602189349287351,-1,-1,1,-1
6,2.44,-0.56,42.0,72.0,-0.2956477438136851,0.8906418621163555,59.0,7.0,0.0,0.8618542253489032,100.0,81.0,0.0,0.18084206766571606,97.0,37.0,0.0,0.989790966264986,5.0,40.0,0.0,0.6068882192349566,60.0,83.0,0.0,0.5835951792447659,-1,1,-1,1
6,10.84,7.84,72.0,74.0,-5.421106579962528,0.5558570760473248,84.0,28.0,-4.410495249406177,-0.21777401742515465,22.0,48.0,0.0,0.0750343797247682,93.0,30.0,0.0,-0.08678503505004627,32.0,60.0,0.0,-0.7925921653440193,95.0,36.0,-4.9586860830713215,0.3239465132306116,1,-1,-1,-1
6,4.29,3.29,50.0,32.0,0.0673186896421143,0.7142249530917635,58.0,6.0,2.5637725003781653,0.5017379300252648,26.0,72.0,0.0,-0.07540106872732727,56.0,0.0,0.0,0.31235674459944685,27.0,19.0,0.0,0.2299200639025781,64.0,69.0,0.0,0.38847407444148735,1,-1,-1,-1
6,-10.84,-7.84,28.0,84.0,1.5246665563461852,0.4178254846312596,74.0,72.0,0.0,-0.9385392664539538,30.0,93.0,0.0,0.02017437681151743,48.0,22.0,0.0,-0.1301423340979991,36.0,95.0,0.0,0.4423630602259081,60.0,32.0,0.0,-0.21731009483480676,-1,-1,1,-1
6,13.74,0.7400000000000002,72.0,42.0,0.0,0.5346896863641589,100.0,28.0,0.0,-0.5895803978689571,29.0,46.0,0.0,0.36098592283502573,91.0,6.0,0.0,0.25279714820848104,71.0,37.0,0.0,-0.14472174730348009,87.0,58.0,0.0,0.8338893511083559,1,-1,-1,-1
6,6.82,1.8200000000000005,42.0,86.0,0.0,0.9898922047642532,33.0,21.0,0.0,-0.005675596234951744,28.0,9.0,18.003122238586162,0.5471930999399939,27.0,11.0,18.06412978802525,0.9999886981468752,48.0,82.0,0.0,-0.971767456594708,60.0,46.0,0.0,0.6812421671814461,1,-1,-1,-1
6,16.02,3.02,56.0,33.0,0.0,-0.9441486886214759,66.0,28.0,10.440672234945431,0.969368230429148,50.0,31.0,9.289228701406113,0.5534865323079708,92.0,9.0,0.0,0.12342612761657452,49.0,0.0,0.0,-0.5140494853287843,51.0,44.0,12.906051779935273,0.9998671519107336,1,1,1,1
6,10.69,-5.3100000000000005,14.0,0.0,0.0,-0.7293178850795332,99.0,0.0,0.0,-0.9773545359537914,47.0,21.0,0.0,-0.9998165105373736,63.0,34.0,14.009212598425195,0.14377477717253473,26.0,96.0,0.0,-0.08946550612990306,61.0,0.0,0.0,0.4507958868381841,-1,1,-1,1
6,-4.29,-3.29,6.0,58.0,0.0,0.9974225074866888,32.0,50.0,-5.050665576833253,0.8634021564797673,0.0,56.0,0.0,0.9254842110646656,72.0,26.0,0.0,0.012692151156742036,69.0,64.0,-5.056076047594416,0.32852727267629844,19.0,27.0,0.0,0.3855834609406772,-1,-1,1,-1
6,-16.02,-3.02,28.0,66.0,-4.946003861003859,0.9512559752322484,33.0,56.0,0.0,-0.497396326467734,9.0,92.0,1.966381013061488,-0.689065164648567,31.0,50.0,0.0,0.9531795010460123,44.0,51.0,0.0,-0.6348699050958352,0.0,49.0,0.0,0.6498275216966416,-1,1,-1,1
6,6.6,13.1,35.0,46.0,-6.10475350845628,-0.36450740223291694,59.0,69.0,0.0,-0.8777448369736296,26.0,79.0,0.0,0.5687577992383233,62.0,25.0,0.0,-0.2724735881121345,44.0,49.0,0.0,0.17469100081127806,94.0,37.0,0.0,-0.2633578009916557,1,-1,-1,-1
6,-4.53,-2.03,44.0,47.0,-5.396227469358329,0.5590973971320554,16.0,22.0,0.0,-0.525608104999751,14.0,22.0,-6.8259601391964555,-0.6700842729076121,76.0,21.0,-6.375108076137218,-0.3035306122203641,47.0,50.0,-6.5691281191438975,0.7457958605936834,78.0,47.0,0.0,-0.6923773637791149,-1,1,-1,1
6,-3.24,-0.2400000000000002,56.0,68.0,0.0,0.7095898258860783,100.0,100.0,0.0,-0.6342358521707925,30.0,64.0,4.756179734400572,-0.958435074923872,46.0,31.0,-0.17768341391633147,-0.8724677478128755,67.0,41.0,3.577221326886919,0.3980985120448086,72.0,100.0,-4.050176733956496,0.3288656581844036,-1,-1,1,-1
6,-2.44,0.56,7.0,59.0,0.0,-0.9232227123597421,72.0,42.0,6.0820741466601325,-0.13470405808513747,37.0,97.0,0.0,0.8838756562311351,81.0,100.0,0.0,-0.7804276712923219,83.0,60.0,0.0,0.9321970049571292,40.0,5.0,0.0,-0.5327197779941051,1,1,1,1
6,4.53,2.03,22.0,16.0,0.0,0.4851426341351075,47.0,44.0,0.0,-0.7313065200361073,21.0,76.0,-16.328344438749365,0.5159309142602141,22.0,14.0,0.0,0.20558564661093032,47.0,78.0,0.0,-0.7758578123992967,50.0,47.0,-4.195223463687153,0.4672895773623082,1,1,1,1
6,-10.69,5.3100000000000005,0.0,99.0,0.0,0.9958196900613628,0.0,14.0,0.0,0.08029258720827348,34.0,63.0,-3.8111982128350914,0.5622730451038618,21.0,47.0,0.0,0.8060633983847656,0.0,61.0,-2.6298146410136085,0.15268833510519966,96.0,26.0,0.0,-0.4745445507052147,1,1,1,1
