Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,16,2019,8.0,51.0,14,22.0,1,0,0,0,SEA,32.0,26.0,9.0,39.0,1.0,44.0,36.0,1.0,13.0,53.0,52.0,19.0,37.0,42.0,33.0,0.0,1,0,0,91.0,54.0,33.0,19.0,57.0,54.0,30.0,60.0,91.0,55.0,51.0,14.0,64.0,68.0,15.0,67.0,59.0,39.0,53.0,27.0,19.0,33.0,54.0,60.0,55.0,14.0
ATL,16,2019,-7.5,48.0,12,4.5,1,1,0,0,JAX,36.0,39.0,47.0,49.0,23.0,35.0,65.0,21.0,52.0,75.0,19.0,31.0,8.0,58.0,86.0,27.0,0,0,0,36.0,22.0,50.0,81.0,52.0,29.0,2.0,21.0,43.0,48.0,29.0,43.0,48.0,41.0,10.0,100.0,25.0,28.0,36.0,67.0,81.0,50.0,29.0,21.0,48.0,43.0
BAL,16,2019,-9.5,48.5,16,6.5,1,0,0,0,CLE,100.0,100.0,100.0,84.0,48.0,66.0,89.0,42.0,92.0,35.0,52.0,81.0,100.0,73.0,28.0,53.0,1,0,0,46.0,40.0,56.0,61.0,76.0,42.0,14.0,27.0,13.0,40.0,44.0,53.0,46.0,55.0,31.0,89.0,45.0,56.0,47.0,75.0,61.0,56.0,42.0,27.0,40.0,53.0
BUF,16,2019,7.0,38.5,-7,0.0,0,0,1,0,NWE,82.0,64.0,50.0,31.0,84.0,62.0,45.0,53.0,69.0,47.0,77.0,53.0,49.0,67.0,24.0,73.0,1,1,0,91.0,94.0,75.0,74.0,16.0,23.0,49.0,71.0,35.0,57.0,100.0,88.0,63.0,23.0,100.0,36.0,47.0,100.0,85.0,0.0,74.0,75.0,23.0,71.0,57.0,88.0
CAR,16,2019,7.5,46.0,-32,-24.5,-1,0,0,0,IND,36.0,31.0,28.0,30.0,22.0,14.0,20.0,31.0,35.0,80.0,100.0,9.0,38.0,21.0,41.0,39.0,1,0,0,46.0,41.0,78.0,48.0,44.0,43.0,55.0,67.0,36.0,26.0,18.0,30.0,50.0,29.0,22.0,0.0,70.0,24.0,40.0,60.0,48.0,78.0,43.0,67.0,26.0,30.0
CHI,16,2019,6.5,45.5,-23,-16.5,-1,1,0,0,KAN,55.0,48.0,42.0,5.0,71.0,42.0,32.0,53.0,37.0,65.0,42.0,45.0,11.0,73.0,32.0,46.0,0,0,0,82.0,74.0,84.0,68.0,31.0,17.0,11.0,31.0,83.0,88.0,55.0,48.0,35.0,85.0,41.0,76.0,86.0,51.0,61.0,42.0,68.0,84.0,17.0,31.0,88.0,48.0
CIN,16,2019,-1.5,46.0,-3,-4.5,-1,0,0,0,MIA,0.0,11.0,28.0,14.0,0.0,14.0,35.0,17.0,13.0,100.0,16.0,31.0,15.0,0.0,38.0,42.0,1,0,0,18.0,0.0,0.0,0.0,2.0,0.0,35.0,20.0,8.0,37.0,17.0,24.0,16.0,4.0,1.0,10.0,26.0,15.0,0.0,90.0,0.0,0.0,0.0,20.0,37.0,24.0
CLE,16,2019,9.5,48.5,-16,-6.5,-1,1,0,0,BAL,46.0,40.0,46.0,55.0,31.0,89.0,45.0,56.0,47.0,75.0,61.0,56.0,42.0,27.0,40.0,53.0,0,0,0,100.0,100.0,81.0,52.0,100.0,100.0,36.0,73.0,100.0,28.0,61.0,53.0,100.0,84.0,48.0,66.0,89.0,42.0,92.0,35.0,52.0,81.0,100.0,73.0,28.0,53.0
DAL,16,2019,-2.0,47.0,-8,-10.0,-1,0,0,0,PHI,55.0,69.0,36.0,100.0,64.0,65.0,100.0,55.0,98.0,62.0,58.0,100.0,48.0,64.0,94.0,52.0,1,0,0,55.0,49.0,53.0,61.0,45.0,38.0,64.0,80.0,47.0,45.0,33.0,38.0,80.0,28.0,39.0,30.0,92.0,51.0,60.0,75.0,61.0,53.0,38.0,80.0,45.0,38.0
DEN,16,2019,-9.5,40.0,10,0.5,1,1,0,0,DET,36.0,36.0,29.0,23.0,50.0,41.0,17.0,40.0,31.0,58.0,52.0,42.0,24.0,52.0,20.0,49.0,0,0,0,23.0,31.0,45.0,29.0,22.0,21.0,62.0,53.0,45.0,67.0,17.0,1.0,39.0,48.0,10.0,52.0,68.0,14.0,30.0,73.0,29.0,45.0,21.0,53.0,67.0,1.0
