Game,EGO,Spread,Spread Target,Pick
GB @ SF,-1.76,-6.0,"[0.5, -2.0]",
BAL @ IND,-1.43,-1.5,"[-0.0, -2.5]",IND
CAR @ KC,-8.94,10.5,"[12.5, 10.5]",CAR
CHI @ TEN,-4.44,6.5,"[8.0, 6.0]",CHI
DEN @ ATL,-4.31,4.0,"[3.0, 0.5]",
DET @ MIN,-1.94,4.0,"[5.5, 3.5]",DET
HOU @ JAX,0.99,-7.0,"[-2.5, -4.5]",
NYG @ WAS,-2.0,2.5,"[5.5, 3.5]",
SEA @ BUF,0.54,-3.0,"[-2.0, -4.0]",BUF
LV @ LAC,-3.45,1.0,"[2.0, -0.0]",LAC
MIA @ ARI,-4.08,4.5,"[8.0, 5.5]",
PIT @ DAL,6.14,-14.0,"[-7.5, -10.0]",
NO @ TB,-4.03,4.5,"[7.5, 5.5]",
NE @ NYJ,2.1,-7.5,"[-3.5, -6.0]",
