TEAM,TOTALDVOA,LASTWEEK,WDVOA,WEI.RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-34.9%,28,-34.5%,32,1-7,-26.7%,31,-1.0%,17,-9.2%,32
ATL,0.9%,18,0.8%,16,5-2,0.8%,16,-2.7%,15,-2.6%,27
BAL,23.9%,5,23.5%,5,5-2,-12.0%,24,-32.8%,1,3.1%,6
BUF,-16.8%,23,-17.6%,24,2-5,-14.0%,25,5.3%,23,2.4%,10
CAR,-1.3%,17,-1.3%,17,4-4,4.2%,11,1.7%,19,-3.8%,30
CHI,47.4%,1,47.3%,1,7-0,5.6%,9,-28.1%,2,13.7%,1
CIN,7.2%,16,7.0%,13,4-3,6.2%,8,3.0%,20,4.0%,4
CLE,-14.7%,27,-14.6%,21,2-5,-18.3%,27,0.1%,18,3.7%,5
DAL,17.3%,11,17.1%,8,4-3,3.8%,13,-12.7%,8,0.8%,14
DEN,10.7%,15,10.9%,12,5-2,4.0%,12,-7.5%,11,-0.8%,19
DET,-20.8%,25,-20.9%,27,1-6,-2.6%,19,15.7%,27,-2.6%,28
GB,-3.7%,22,-3.1%,19,3-4,2.2%,14,4.1%,22,-1.8%,24
HOU,-29.1%,30,-28.7%,28,2-5,-0.9%,17,27.1%,32,-1.0%,21
IND,16.0%,9,15.9%,9,7-0,34.8%,1,16.7%,28,-2.0%,25
JAC,17.8%,8,18.0%,7,4-3,-3.2%,20,-21.1%,4,-0.1%,16
KC,13.7%,13,13.2%,11,4-3,1.5%,15,-9.8%,9,2.4%,9
MIA,-19.8%,26,-19.8%,26,1-6,-18.7%,28,-1.6%,16,-2.7%,29
MIN,-1.9%,14,-1.7%,18,4-3,-15.6%,26,-13.8%,6,0.0%,15
NE,22.2%,7,22.7%,6,6-1,16.2%,5,-3.2%,14,2.8%,8
NO,5.6%,12,5.3%,15,5-2,4.9%,10,3.6%,21,4.3%,3
NYG,36.1%,4,36.7%,2,5-2,16.3%,4,-17.8%,5,1.9%,12
NYJ,-19.0%,24,-19.5%,25,4-4,-3.3%,21,18.7%,30,2.9%,7
OAK,-30.4%,31,-30.0%,29,2-5,-38.0%,32,-8.8%,10,-1.3%,22
PHI,36.3%,2,36.0%,3,4-4,23.7%,2,-13.5%,7,-0.9%,20
PIT,13.6%,6,14.0%,10,2-5,-1.9%,18,-21.2%,3,-5.7%,31
SD,34.1%,3,33.8%,4,5-2,21.7%,3,-6.2%,12,6.2%,2
SEA,-14.8%,20,-15.1%,22,4-3,-8.9%,23,5.6%,24,-0.2%,17
SF,-33.1%,29,-33.1%,30,2-5,-6.6%,22,24.9%,31,-1.6%,23
STL,7.1%,10,6.9%,14,4-3,13.1%,6,5.6%,25,-0.4%,18
TB,-17.5%,21,-17.2%,23,2-5,-19.5%,29,-4.2%,13,-2.2%,26
TEN,-35.3%,32,-34.4%,31,2-5,-22.2%,30,15.0%,26,1.8%,13
WAS,-4.5%,19,-5.1%,20,2-5,10.5%,7,17.1%,29,2.1%,11
