TEAM,TOTALDVOA,LASTWEEK,W-L,WDVOA,RANK,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-35.1%,31,1-7,-34.9%,31,-27.3%,31,-1.4%,15,-9.2%,32
ATL,-4.6%,16,5-3,-6.9%,20,-1.3%,17,0.0%,17,-3.3%,29
BAL,26.8%,5,6-2,26.3%,5,-7.3%,23,-29.0%,1,5.1%,3
BUF,-10.7%,23,3-5,-11.8%,22,-11.1%,25,3.7%,21,4.1%,5
CAR,-2.1%,17,4-4,-0.6%,16,3.3%,12,1.7%,19,-3.8%,30
CHI,36.0%,1,7-1,34.3%,1,-2.3%,21,-26.6%,2,11.7%,1
CIN,3.0%,13,4-4,1.1%,15,8.2%,9,7.9%,25,2.7%,9
CLE,-14.6%,21,2-6,-14.0%,24,-20.4%,28,1.0%,18,6.8%,2
DAL,16.5%,8,4-4,17.4%,10,5.9%,11,-11.8%,8,-1.2%,22
DEN,17.9%,12,6-2,19.7%,9,9.1%,8,-7.6%,11,1.2%,14
DET,-17.9%,27,2-6,-17.2%,25,-1.4%,18,15.3%,27,-1.3%,23
GB,-5.6%,19,3-5,-3.7%,18,1.0%,15,4.3%,22,-2.2%,26
HOU,-24.2%,28,2-6,-23.8%,28,3.2%,13,26.2%,32,-1.2%,21
IND,18.9%,9,8-0,20.0%,7,32.7%,1,11.2%,26,-2.5%,28
JAC,23.9%,7,5-3,23.3%,6,-1.7%,19,-24.4%,3,1.2%,13
KC,12.8%,10,5-3,14.5%,11,2.1%,14,-7.2%,12,3.5%,6
MIA,-10.0%,26,2-6,-9.7%,21,-18.3%,26,-10.2%,9,-1.9%,25
MIN,-2.5%,18,4-4,-2.5%,17,-18.8%,27,-16.2%,4,0.1%,16
NE,18.4%,6,6-2,19.8%,8,11.9%,7,-4.6%,14,1.9%,11
NO,9.5%,15,6-2,9.5%,13,7.8%,10,2.4%,20,4.1%,4
NYG,33.4%,3,6-2,33.1%,3,17.1%,4,-15.7%,6,0.6%,15
NYJ,-18.0%,25,4-4,-18.5%,26,-1.8%,20,19.1%,29,2.9%,8
OAK,-34.0%,29,2-6,-33.4%,30,-38.1%,32,-5.4%,13,-1.3%,24
PHI,34.2%,2,4-4,33.0%,4,22.8%,2,-12.3%,7,-0.9%,20
PIT,9.7%,11,2-6,10.1%,12,-0.2%,16,-16.1%,5,-6.1%,31
SD,34.1%,4,6-2,34.0%,2,22.7%,3,-8.0%,10,3.3%,7
SEA,-12.5%,22,5-3,-12.9%,23,-6.2%,22,6.4%,23,0.1%,17
SF,-31.6%,30,3-5,-32.6%,29,-10.5%,24,21.0%,31,-0.1%,18
STL,6.3%,14,4-4,4.1%,14,14.2%,5,7.4%,24,-0.5%,19
TB,-23.5%,24,2-6,-22.8%,27,-21.4%,29,-0.2%,16,-2.3%,27
TEN,-36.9%,32,2-6,-35.3%,32,-23.4%,30,15.3%,28,1.8%,12
WAS,-4.7%,20,3-5,-5.0%,19,12.5%,6,19.5%,30,2.3%,10
