Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-3.0 / 3.0,ATL,TAM,-,-3.0 / 3.0
+3.0 / -3.0,BAL,KAN,-,+3.0 / -3.0
+3.5 / -3.5,BUF,NYJ,-,+3.5 / -3.5
-6.5 / 6.5,CHI,STL,-,-6.5 / 6.5
+7.5 / -7.5,CLE,PIT,-,+7.5 / -7.5
+7.0 / -7.0,DEN,SDG,-,+7.0 / -7.0
+4.0 / -4.0,GNB,SFO,-,+4.0 / -4.0
-1.0 / 1.0,IND,JAX,-,-1.0 / 1.0
+1.0 / -1.0,MIN,DET,-,+1.0 / -1.0
+6.5 / -6.5,NOR,DAL,-,+6.5 / -6.5
-3.0 / 3.0,NWE,MIA,-,-3.0 / 3.0
-2.5 / 2.5,NYG,CAR,-,-2.5 / 2.5
+10.5 / -10.5,OAK,CIN,-,+10.5 / -10.5
-2.0 / 2.0,PHI,WAS,-,-2.0 / 2.0
-3.5 / 3.5,SEA,ARI,-,-3.5 / 3.5
+1.5 / -1.5,TEN,HOU,-,+1.5 / -1.5
