TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-24.8%,32,-21.7%,29,3-9,-14.7%,29,4.1%,19,-6.1%,31
ATL,-10.3%,27,-15.5%,26,6-6,-4.4%,19,2.8%,18,-3.1%,28
BAL,28.0%,3,27.9%,3,9-3,0.5%,14,-23.5%,2,4.0%,4
BUF,-10.0%,22,-11.9%,23,5-7,-11.1%,25,5.0%,23,6.2%,2
CAR,4.5%,13,8.4%,13,6-6,-2.3%,17,-8.2%,9,-1.4%,24
CHI,32.9%,1,28.7%,2,10-2,-6.2%,21,-30.3%,1,8.8%,1
CIN,14.7%,10,13.3%,9,7-5,19.5%,3,7.0%,25,2.3%,10
CLE,-11.1%,26,-10.4%,20,4-8,-15.8%,30,0.4%,15,5.0%,3
DAL,26.1%,4,29.1%,1,8-4,15.1%,5,-11.4%,4,-0.3%,18
DEN,-0.6%,14,0.0%,15,7-5,-3.5%,18,-2.9%,13,-0.1%,17
DET,-27.4%,31,-27.1%,32,2-10,-9.5%,23,18.7%,32,0.9%,13
GB,-14.1%,21,-11.3%,22,4-8,-5.4%,20,4.9%,22,-3.8%,30
HOU,-16.8%,25,-12.9%,24,4-8,-0.4%,15,15.9%,31,-0.5%,20
IND,22.7%,5,25.3%,6,10-2,32.2%,1,8.1%,26,-1.3%,22
JAC,23.5%,7,21.2%,7,7-5,1.7%,12,-21.3%,3,0.6%,14
KC,7.9%,11,8.9%,12,7-5,7.9%,9,2.1%,16,2.1%,12
MIA,-6.8%,16,-5.2%,19,5-7,-11.7%,26,-6.8%,11,-1.9%,25
MIN,-4.5%,17,-4.4%,17,5-7,-13.0%,28,-11.3%,5,-2.9%,27
NE,22.3%,6,25.4%,5,9-3,8.7%,8,-10.6%,7,2.9%,8
NO,9.6%,12,10.0%,11,8-4,12.5%,7,5.1%,24,2.1%,11
NYG,19.5%,9,17.5%,8,6-6,15.1%,4,-4.7%,12,-0.4%,19
NYJ,-4.8%,20,-4.0%,16,7-5,3.7%,10,12.2%,27,3.7%,5
OAK,-24.4%,30,-20.8%,28,2-10,-32.0%,32,-11.2%,6,-3.6%,29
PHI,19.4%,8,13.1%,10,6-6,14.1%,6,-7.8%,10,-2.5%,26
PIT,2.3%,15,1.6%,14,5-7,-2.1%,16,-10.6%,8,-6.3%,32
SD,29.2%,2,27.0%,4,10-2,23.7%,2,-2.0%,14,3.5%,6
SEA,-11.3%,24,-11.2%,21,8-4,-12.2%,27,2.2%,17,3.1%,7
SF,-25.1%,28,-25.4%,30,5-7,-8.3%,22,15.4%,30,-1.4%,23
STL,-11.3%,18,-17.2%,27,5-7,1.4%,13,12.8%,29,0.1%,16
TB,-26.9%,29,-26.9%,31,3-9,-21.9%,31,4.1%,20,-0.9%,21
TEN,-12.5%,23,-4.8%,18,5-7,-10.4%,24,4.6%,21,2.5%,9
WAS,-9.5%,19,-13.2%,25,4-8,3.0%,11,12.7%,28,0.1%,15
