TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,SPECIALDVOA,S.T.RANK
ARI,-20.7%,29,-20.7%,27,-16.7%,1-5,-22.4%,30,-12.0%,11,-10.3%,32
ATL,-0.2%,12,2.9%,19,7.7%,3-2,-13.7%,26,-19.0%,7,-5.4%,28
BAL,18.6%,6,15.0%,7,30.8%,4-2,-17.6%,27,-32.8%,1,3.4%,9
BUF,-13.8%,21,-16.7%,24,-13.9%,2-4,-12.8%,25,4.6%,21,3.5%,6
CAR,5.3%,18,7.4%,14,4.5%,4-2,2.7%,12,-5.3%,14,-2.7%,24
CHI,46.7%,1,39.0%,2,55.2%,6-0,5.4%,9,-28.6%,2,12.7%,1
CIN,4.4%,13,9.4%,12,8.6%,3-2,-3.1%,15,-4.1%,16,3.4%,8
CLE,-22.5%,23,-17.8%,25,-25.3%,1-4,-23.0%,31,9.2%,25,9.7%,2
DAL,21.1%,9,13.7%,9,23.0%,3-2,4.0%,11,-19.5%,6,-2.4%,22
DEN,9.0%,15,12.3%,11,10.3%,4-1,-5.6%,19,-14.9%,8,-0.3%,15
DET,-18.3%,24,-14.9%,23,-19.7%,1-5,-5.2%,18,10.4%,27,-2.6%,23
GB,-21.0%,22,-18.3%,26,-28.4%,1-4,-7.0%,20,8.3%,23,-5.8%,29
HOU,-42.1%,30,-35.0%,30,-42.5%,1-4,-9.4%,23,34.7%,32,2.0%,10
IND,7.3%,16,14.1%,8,13.2%,5-0,19.5%,4,11.1%,28,-1.1%,20
JAC,31.7%,4,23.0%,4,33.9%,3-2,4.8%,10,-27.4%,3,-0.6%,17
KC,4.3%,5,5.5%,16,0.2%,2-3,-9.1%,21,-5.8%,12,7.5%,3
MIA,-20.0%,27,-13.4%,21,-10.3%,1-5,-20.0%,29,-3.0%,17,-3.0%,25
MIN,1.4%,17,-5.1%,20,-0.7%,3-2,-9.4%,22,-13.9%,10,-3.2%,26
NE,10.1%,10,9.3%,13,20.7%,4-1,12.0%,7,5.5%,22,3.7%,5
NO,11.0%,11,4.0%,17,16.2%,5-1,7.2%,8,1.4%,19,5.2%,4
NYG,26.5%,7,18.8%,5,23.1%,3-2,20.2%,3,-5.6%,13,0.7%,13
NYJ,-22.0%,28,-23.3%,28,-18.0%,3-3,-5.2%,17,15.9%,29,-0.9%,19
OAK,-51.7%,31,-38.0%,32,-59.0%,0-5,-37.0%,32,8.8%,24,-5.8%,30
PHI,39.9%,2,31.1%,3,34.2%,4-2,26.1%,1,-14.6%,9,-0.8%,18
PIT,18.1%,20,17.5%,6,6.8%,2-3,0.9%,13,-23.4%,4,-6.2%,31
SD,47.3%,3,39.1%,1,60.7%,4-1,20.9%,2,-22.9%,5,3.4%,7
SEA,4.3%,19,13.5%,10,-1.8%,4-1,-1.4%,14,-5.0%,15,0.7%,12
SF,-26.5%,25,-26.1%,29,-31.3%,2-4,-3.5%,16,22.7%,31,-0.3%,16
STL,13.2%,8,5.8%,15,26.3%,4-2,13.9%,5,0.6%,18,-0.2%,14
TB,-18.3%,26,-14.3%,22,-27.4%,1-4,-11.1%,24,2.6%,20,-4.6%,27
TEN,-39.8%,32,-35.3%,31,-35.8%,1-5,-19.4%,28,18.9%,30,-1.5%,21
WAS,3.8%,14,3.8%,18,-0.1%,2-4,12.6%,6,9.8%,26,1.1%,11
