TEAM,TOTALDVOA,W-L,ESTIM.WINS,RANK,WDVOA,RANK.1,PASTSCHED,RANK.2,FUTURESCHED,RANK.3,VAR.,RANK.4
ARI,-9.5%,3-5,3.6,25,-9.9%,21,-5.5%,27,-17.4%,30,28.4%,2
ATL,-20.6%,2-6,3.0,27,-19.9%,26,-4.0%,25,4.0%,12,3.2%,30
BAL,-8.3%,4-4,3.6,24,-8.3%,20,-10.8%,32,21.1%,1,6.2%,20
BUF,-2.1%,4-4,4.8,14,1.0%,14,8.2%,2,6.6%,11,11.8%,13
CAR,-15.7%,4-4,3.9,20,-14.5%,23,0.1%,18,3.0%,13,11.6%,14
CHI,-22.3%,3-5,3.1,26,-21.5%,27,6.3%,5,-1.4%,16,5.6%,23
CIN,-3.8%,2-6,4.9,13,-4.7%,18,7.5%,4,-10.9%,26,1.8%,32
CLE,-0.9%,5-3,4.8,16,0.8%,15,0.6%,16,-11.0%,27,5.5%,25
DAL,44.0%,7-1,7.4,3,44.5%,3,0.8%,14,-2.8%,19,10.2%,15
DEN,-14.1%,3-5,3.7,22,-16.5%,25,8.6%,1,-8.2%,24,18.4%,7
DET,-7.0%,6-2,4.8,15,-6.0%,19,-6.2%,29,11.2%,7,19.9%,5
GB,16.1%,7-1,5.9,4,15.6%,7,-2.1%,22,-10.1%,25,3.8%,29
HOU,-13.6%,4-5,3.6,23,-16.3%,24,-2.0%,21,11.6%,6,14.5%,10
IND,53.9%,7-1,9.0,1,53.1%,2,7.8%,3,-7.8%,23,5.9%,22
JAC,10.4%,5-3,5.6,8,10.3%,9,2.7%,12,7.0%,10,5.6%,24
KC,-13.0%,4-4,3.8,21,-11.6%,22,-3.3%,23,-2.3%,18,8.9%,18
MIA,-23.2%,0-8,2.6,28,-24.5%,28,5.2%,7,10.0%,8,5.4%,26
MIN,13.7%,3-5,5.6,9,13.8%,8,0.8%,15,-15.1%,29,18.0%,8
NE,70.9%,9-0,9.0,1,71.2%,1,5.3%,6,-1.7%,17,2.9%,31
NO,-7.8%,4-4,4.3,19,-4.5%,17,3.1%,10,-14.1%,28,9.2%,17
NYG,6.3%,6-2,5.1,10,7.7%,11,-6.0%,28,14.7%,4,6.2%,21
NYJ,-25.7%,1-8,2.6,29,-24.6%,29,4.8%,8,19.3%,2,5.4%,27
OAK,-35.1%,2-6,1.5,31,-34.7%,30,-5.1%,26,7.1%,9,15.0%,9
PHI,5.0%,3-5,5.1,11,2.7%,13,2.9%,11,14.1%,5,18.4%,6
PIT,36.1%,6-2,5.9,6,33.4%,4,-8.8%,31,-3.1%,20,34.1%,1
SD,4.8%,4-4,4.6,17,5.6%,12,0.3%,17,1.1%,14,25.0%,3
SEA,10.1%,4-4,4.9,12,9.2%,10,-6.5%,30,-23.3%,32,13.7%,11
SF,-50.4%,2-6,1.2,32,-51.9%,32,-3.9%,24,-4.0%,21,8.9%,19
STL,-41.1%,0-8,1.6,30,-41.1%,31,-1.3%,20,-4.3%,22,13.1%,12
TB,19.0%,5-4,5.8,7,19.2%,6,1.6%,13,-18.3%,31,22.7%,4
TEN,20.9%,6-2,5.9,5,21.4%,5,-1.1%,19,-0.2%,15,5.2%,28
WAS,0.6%,5-3,4.4,18,0.2%,16,3.7%,9,15.4%,3,9.9%,16
