Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2007,ARI,CIN,11,Sun,1:02PM,0,-3.4%,3.5,8,11.5
2007,ATL,TB,11,Sun,1:05PM,1,-16.4%,3.0,-24,-21.0
2007,BAL,CLE,11,Sun,1:02PM,1,-10.5%,2.0,-3,-1.0
2007,BUF,NE,11,Sun,8:24PM,1,1.0%,16.0,-46,-30.0
2007,CAR,GB,11,Sun,1:02PM,0,-19.2%,10.0,-14,-4.0
2007,CHI,SEA,11,Sun,4:16PM,0,-20.2%,5.5,-7,-1.5
2007,CIN,ARI,11,Sun,1:02PM,1,-0.6%,-3.5,-8,-11.5
2007,CLE,BAL,11,Sun,1:02PM,0,7.6%,-2.0,3,1.0
2007,DAL,WAS,11,Sun,4:15PM,1,41.8%,-11.0,5,-6.0
2007,DEN,TEN,11,Mon,8:40PM,1,-8.1%,-0.0,14,14.0
2007,DET,NYG,11,Sun,1:03PM,1,-14.2%,2.5,-6,-3.5
2007,GB,CAR,11,Sun,1:02PM,1,23.7%,-10.0,14,4.0
2007,HOU,NO,11,Sun,1:02PM,1,-18.0%,-1.0,13,12.0
2007,IND,KC,11,Sun,1:02PM,1,40.3%,-14.5,3,-11.5
2007,JAC,SD,11,Sun,1:03PM,1,14.3%,-3.0,7,4.0
2007,KC,IND,11,Sun,1:02PM,0,-15.0%,14.5,-3,11.5
2007,MIA,PHI,11,Sun,1:02PM,0,-21.1%,9.5,-10,-0.5
2007,MIN,OAK,11,Sun,1:05PM,1,2.2%,-4.5,7,2.5
2007,NE,BUF,11,Sun,8:24PM,0,73.9%,-16.0,46,30.0
2007,NO,HOU,11,Sun,1:02PM,0,-8.7%,1.0,-13,-12.0
2007,NYG,DET,11,Sun,1:03PM,0,8.5%,-2.5,6,3.5
2007,NYJ,PIT,11,Sun,4:05PM,1,-24.0%,9.5,3,12.5
2007,OAK,MIN,11,Sun,1:05PM,0,-34.1%,4.5,-7,-2.5
2007,PHI,MIA,11,Sun,1:02PM,1,3.0%,-9.5,10,0.5
2007,PIT,NYJ,11,Sun,4:05PM,0,29.0%,-9.5,-3,-12.5
2007,SD,JAC,11,Sun,1:03PM,0,17.0%,3.0,-7,-4.0
2007,SEA,CHI,11,Sun,4:16PM,1,11.2%,-5.5,7,1.5
2007,SF,STL,11,Sun,4:15PM,1,-53.4%,3.0,-4,-1.0
2007,STL,SF,11,Sun,4:15PM,0,-33.5%,-3.0,4,1.0
2007,TB,ATL,11,Sun,1:05PM,0,18.2%,-3.0,24,21.0
2007,TEN,DEN,11,Mon,8:40PM,0,11.1%,0.0,-14,-14.0
2007,WAS,DAL,11,Sun,4:15PM,0,2.9%,11.0,-5,6.0
