TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,NON-ADJTOT VOA,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,9.4%,7,2.1%,15,15.0%,3-2,10.5%,9,-0.2%,15,-1.3%,19
ATL,-17.6%,21,-11.9%,20,-16.0%,1-4,-8.6%,26,4.8%,19,-4.2%,22
BAL,16.5%,9,15.2%,9,20.3%,3-2,-3.4%,19,-13.5%,5,6.5%,5
BUF,-20.2%,28,-14.9%,21,-25.5%,1-4,-19.9%,30,9.6%,25,9.3%,2
CAR,-24.6%,25,-15.3%,23,-9.7%,3-2,-2.8%,17,15.9%,28,-5.9%,25
CHI,-31.4%,27,-22.9%,29,-28.6%,2-3,-36.8%,31,1.9%,17,7.3%,4
CIN,-2.5%,17,-3.3%,17,-9.6%,1-3,17.1%,4,6.8%,20,-12.8%,32
CLE,-12.6%,20,-9.8%,19,-23.2%,2-3,-3.0%,18,17.5%,30,7.9%,3
DAL,36.4%,2,23.5%,4,46.0%,5-0,26.0%,3,-12.8%,6,-2.4%,21
DEN,-22.2%,19,-18.3%,25,-21.3%,2-3,4.1%,12,14.2%,27,-12.1%,31
DET,-19.1%,18,-18.7%,26,-13.6%,3-2,-6.6%,23,8.1%,23,-4.4%,23
GB,21.2%,8,16.7%,8,20.3%,4-1,14.8%,5,-1.4%,14,5.1%,8
HOU,3.3%,13,-3.7%,18,2.3%,3-2,-4.3%,20,3.3%,18,10.9%,1
IND,51.7%,3,40.2%,2,54.6%,5-0,50.1%,1,-7.4%,10,-5.8%,24
JAC,14.8%,14,19.4%,6,15.8%,3-1,11.5%,8,0.1%,16,3.4%,10
KC,-22.9%,22,-22.3%,28,-14.5%,2-3,-18.0%,28,-3.5%,12,-8.3%,29
MIA,-14.6%,26,-14.9%,22,-16.7%,0-5,3.4%,13,18.1%,31,0.2%,17
MIN,6.3%,12,-0.4%,16,7.3%,1-3,-8.4%,25,-8.9%,8,5.8%,7
NE,67.7%,1,58.0%,1,75.4%,5-0,42.5%,2,-22.3%,3,2.9%,14
NO,-40.6%,32,-25.2%,30,-51.4%,0-4,-19.6%,29,13.1%,26,-7.9%,28
NYG,4.6%,16,4.2%,13,-3.1%,3-2,8.3%,10,-3.2%,13,-6.9%,27
NYJ,-33.9%,29,-21.0%,27,-33.4%,1-4,-7.7%,24,29.1%,32,3.0%,13
OAK,-24.8%,24,-17.9%,24,-10.7%,2-2,-5.2%,22,9.4%,24,-10.1%,30
PHI,13.2%,11,18.6%,7,12.2%,1-3,5.4%,11,-10.0%,7,-2.2%,20
PIT,39.4%,5,29.5%,3,49.8%,4-1,12.4%,7,-26.7%,2,0.2%,16
SD,-0.8%,23,2.9%,14,-6.9%,2-3,2.8%,14,7.5%,21,3.8%,9
SEA,12.0%,6,8.4%,11,8.4%,3-2,1.1%,15,-4.7%,11,6.2%,6
SF,-43.0%,30,-33.3%,32,-39.7%,2-3,-38.5%,32,8.0%,22,3.4%,11
STL,-33.2%,31,-31.7%,31,-34.2%,0-5,-17.6%,27,17.4%,29,1.9%,15
TB,24.4%,4,22.0%,5,23.7%,3-2,13.0%,6,-8.1%,9,3.3%,12
TEN,16.4%,10,7.4%,12,11.3%,3-1,-4.5%,21,-27.6%,1,-6.6%,26
WAS,17.6%,15,13.8%,10,23.0%,3-1,-0.1%,16,-17.8%,4,-0.1%,18
