TEAM,TOTALDVOA,W-L,ESTIM.WINS,RANK,WDVOA,RANK.1,PAST SCHED,RANK.2,FUTURESCHED,RANK.3,VAR.,RANK.4
ARI,-6.1%,3-4,3.4,23,-7.3%,19,-7.3%,28,-14.2%,30,27.7%,2
ATL,-25.6%,1-6,2.2,28,-25.4%,27,-0.6%,18,-2.3%,21,4.6%,25
BAL,0.5%,4-3,3.8,20,0.9%,15,-17.0%,32,24.1%,1,2.8%,31
BUF,-5.8%,3-4,4.1,16,-2.5%,16,8.3%,3,7.1%,8,12.7%,13
CAR,-14.7%,4-3,3.5,22,-13.2%,24,-3.2%,24,3.5%,15,14.1%,9
CHI,-23.8%,3-5,2.6,26,-23.3%,26,5.8%,6,-1.7%,20,6.1%,21
CIN,-2.1%,2-5,4.6,12,-2.9%,18,9.1%,2,-10.0%,28,2.1%,32
CLE,0.0%,4-3,4.5,14,1.3%,14,0.4%,14,-8.4%,25,8.7%,19
DAL,35.2%,6-1,6.0,3,34.4%,3,-2.5%,23,-0.7%,18,8.7%,18
DEN,-7.8%,3-4,3.6,21,-10.3%,21,13.2%,1,-8.1%,24,16.3%,7
DET,-12.9%,5-2,4.0,19,-12.5%,23,-5.8%,27,8.9%,5,18.0%,4
GB,17.3%,6-1,5.5,4,16.2%,9,1.0%,13,-13.8%,29,4.2%,27
HOU,-14.7%,3-5,3.0,25,-17.3%,25,4.5%,8,7.2%,7,13.9%,11
IND,57.0%,7-0,8.0,1,57.2%,2,0.2%,16,5.7%,10,5.8%,22
JAC,17.0%,5-2,5.3,5,18.0%,6,4.4%,9,5.6%,11,3.6%,29
KC,-9.3%,4-3,4.1,17,-7.9%,20,-4.4%,25,2.7%,16,9.5%,16
MIA,-25.1%,0-8,2.3,27,-25.8%,28,5.1%,7,8.3%,6,5.0%,23
MIN,-2.0%,2-5,4.1,15,-2.9%,17,-1.1%,20,-9.5%,26,3.8%,28
NE,70.6%,8-0,8.0,1,70.3%,1,-0.6%,19,5.3%,13,5.0%,24
NO,-14.0%,3-4,3.3,24,-11.0%,22,1.8%,11,-9.9%,27,10.0%,14
NYG,6.7%,6-2,4.5,13,8.2%,12,-8.1%,31,9.5%,4,8.2%,20
NYJ,-31.2%,1-7,1.9,29,-30.7%,30,6.2%,5,15.3%,2,3.2%,30
OAK,-30.0%,2-5,1.7,30,-29.1%,29,-2.2%,22,6.7%,9,13.0%,12
PHI,10.6%,3-4,4.8,10,9.2%,11,-5.2%,26,14.9%,3,14.4%,8
PIT,29.9%,5-2,5.0,9,27.3%,4,-7.4%,29,-1.3%,19,29.0%,1
SD,20.0%,4-3,5.2,6,23.2%,5,0.3%,15,3.7%,14,16.4%,6
SEA,12.4%,4-3,4.6,11,11.7%,10,-8.0%,30,-18.7%,32,17.9%,5
SF,-50.0%,2-5,1.1,32,-51.4%,32,-1.4%,21,-7.5%,23,9.7%,15
STL,-40.4%,0-8,1.5,31,-39.8%,31,-0.5%,17,-4.8%,22,14.0%,10
TB,18.6%,4-4,5.0,8,17.9%,7,2.7%,10,-18.3%,31,24.7%,3
TEN,17.1%,5-2,5.0,7,17.2%,8,1.0%,12,1.8%,17,4.5%,26
WAS,4.1%,4-3,4.1,18,4.3%,13,7.6%,4,5.4%,12,9.5%,17
