TEAM,TOTALDVOA,LASTWEEK,WDVOA,RANK,W-L,OFFENSEDVOA,OFF.RANK,DEFENSEDVOA,DEF.RANK,S.T.DVOA,S.T.RANK
ARI,21.5%,6,17.1%,8,4-2,19.7%,6,-0.8%,11,1.0%,19
ATL,8.3%,16,-1.2%,20,4-2,20.4%,4,16.5%,27,4.4%,4
BAL,20.2%,7,16.5%,9,3-3,-3.5%,23,-25.5%,1,-1.9%,26
BUF,11.4%,20,6.3%,16,5-1,9.2%,11,2.0%,15,4.3%,5
CAR,10.7%,17,9.7%,11,5-2,7.5%,14,-3.9%,10,-0.7%,23
CHI,13.1%,10,10.0%,10,4-3,5.6%,16,-5.0%,9,2.5%,11
CIN,-37.6%,29,-30.9%,29,0-7,-25.2%,31,11.5%,21,-0.9%,24
CLE,-14.4%,24,-13.8%,24,2-4,-9.7%,25,8.7%,18,3.9%,6
DAL,-3.5%,15,-1.4%,21,4-3,17.7%,7,13.1%,24,-8.1%,30
DEN,-6.8%,18,-5.3%,23,4-3,19.9%,5,25.0%,30,-1.7%,25
DET,-46.0%,30,-43.6%,31,0-6,-19.2%,30,31.8%,32,5.0%,3
GB,12.8%,14,17.2%,7,4-3,5.5%,17,-5.7%,7,1.7%,17
HOU,-23.9%,27,-19.6%,27,2-4,2.4%,19,29.8%,31,3.5%,7
IND,4.7%,11,7.8%,12,3-3,8.3%,12,2.9%,17,-0.7%,22
JAC,-4.1%,22,-2.1%,22,3-3,8.1%,13,14.8%,25,2.6%,10
KC,-58.2%,32,-49.9%,32,1-5,-30.8%,32,24.2%,29,-3.1%,27
MIA,9.8%,12,6.9%,14,2-4,22.2%,3,2.3%,16,-10.0%,31
MIN,-3.9%,21,-0.9%,19,3-4,-3.6%,24,-14.1%,6,-14.4%,32
NE,-5.9%,25,0.0%,17,4-2,-0.2%,21,12.0%,22,6.3%,1
NO,8.2%,9,7.0%,13,3-4,17.2%,9,10.8%,20,1.9%,15
NYG,37.3%,2,31.3%,2,5-1,35.7%,1,0.6%,14,2.3%,14
NYJ,0.3%,19,-0.4%,18,3-3,-2.1%,22,-0.1%,13,2.3%,13
OAK,-21.0%,26,-23.4%,28,2-4,-17.1%,29,9.8%,19,5.9%,2
PHI,36.5%,1,34.9%,1,3-3,17.6%,8,-16.3%,5,2.6%,9
PIT,23.7%,8,21.9%,4,5-1,2.8%,18,-18.5%,4,2.4%,12
SD,2.4%,13,6.6%,15,3-4,13.3%,10,12.3%,23,1.4%,18
SEA,-25.0%,28,-17.7%,26,1-5,-10.8%,26,15.1%,26,0.9%,20
SF,-12.5%,23,-16.2%,25,2-5,-15.9%,28,-0.2%,12,3.2%,8
STL,-33.7%,31,-31.1%,30,2-4,-14.3%,27,21.1%,28,1.7%,16
TB,19.9%,4,19.2%,6,5-2,1.1%,20,-23.3%,3,-4.5%,28
TEN,30.1%,3,24.0%,3,6-0,5.7%,15,-25.0%,2,-0.6%,21
WAS,23.0%,5,21.0%,5,5-2,22.9%,2,-5.3%,8,-5.2%,29
