Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2012,ARI @ MIN,7,Sun,1:05PM,-9.2%,6.5,-7,-0.5,-17.2,-5.94,0.5599999999999996,-1.0599999999999996,"[[9.5, 7.5], [4.5, 2.0]]",0,,0
2012,BAL @ HOU,7,Sun,1:02PM,14.7%,6.5,-30,-23.5,-0.5,-2.34,4.16,-27.66,"[[6.0, 4.0], [1.0, -1.5]]",0,,0
2012,CLE @ IND,7,Sun,1:02PM,-21.8%,1.0,-4,-3.0,-1.8000000000000007,-2.62,-1.62,-1.38,"[[6.5, 4.0], [1.0, -1.0]]",1,IND,1
2012,DAL @ CAR,7,Sun,1:03PM,-3.3%,-2.5,5,2.5,3.1000000000000005,-1.54,-4.04,6.54,"[[5.0, 3.0], [0.0, -2.0]]",0,,0
2012,DET @ CHI,7,Mon,8:40PM,-2.4%,6.5,-6,0.5,-31.299999999999997,-8.92,-2.42,2.92,"[[12.5, 10.5], [7.5, 5.0]]",1,CHI,0
2012,GB @ STL,7,Sun,1:00PM,31.9%,-5.0,10,5.0,39.4,6.67,1.67,3.33,"[[-3.0, -5.0], [-8.0, -10.5]]",1,GB,1
2012,JAC @ OAK,7,Sun,4:25PM,-33.4%,6.0,-3,3.0,-17.0,-5.9,0.09999999999999964,2.9000000000000004,"[[9.5, 7.5], [4.5, 2.0]]",0,,1
2012,NO @ TB,7,Sun,1:02PM,-6.3%,-1.5,7,5.5,-5.199999999999999,-3.36,-4.859999999999999,10.36,"[[7.0, 5.0], [2.0, -0.5]]",0,,0
2012,NYJ @ NE,7,Sun,4:25PM,-1.4%,10.5,-3,7.5,-28.9,-8.41,2.09,5.41,"[[12.0, 10.0], [7.0, 4.5]]",1,NYJ,1
2012,PIT @ CIN,7,Sun,8:30PM,-1.9%,1.0,7,8.0,8.799999999999999,-0.28,0.72,7.28,"[[4.0, 2.0], [-1.0, -3.5]]",0,,1
2012,SEA @ SF,7,Thu,8:29PM,16.2%,7.5,-7,0.5,-9.2,-4.23,3.2699999999999996,-2.7699999999999996,"[[8.0, 5.5], [2.5, 0.5]]",1,SEA,1
2012,TEN @ BUF,7,Sun,1:02PM,-32.7%,4.5,1,5.5,-16.200000000000003,-5.73,-1.2300000000000004,6.73,"[[9.5, 7.0], [4.0, 2.0]]",0,,0
2012,WAS @ NYG,7,Sun,1:03PM,-0.4%,6.5,-4,2.5,-30.5,-8.75,-2.25,4.75,"[[12.5, 10.0], [7.0, 5.0]]",1,NYG,0
