Game,EGO,Spread,Spread Target,Pick
BUF @ MIA,-4.7,5.0,"[8.5, 6.0]",
DEN @ STL,10.04,-9.5,"[-6.5, -8.5]",
CIN @ NO,-5.73,7.0,"[9.5, 7.0]",CIN
MIN @ CHI,-1.23,2.5,"[5.0, 2.5]",MIN
ATL @ CAR,2.07,-1.5,"[1.5, -0.5]",
HOU @ CLE,-4.62,3.5,"[3.0, 1.0]",
SF @ NYG,-1.04,-4.0,"[-0.5, -2.5]",
TB @ WAS,-7.78,7.5,"[6.5, 4.0]",
SEA @ KC,-0.93,0.0,"[-0.5, -3.0]",
OAK @ SD,-6.13,10.0,"[10.0, 7.5]",OAK
DET @ ARI,-0.53,1.0,"[4.0, 2.0]",
PHI @ GB,-2.29,5.5,"[6.0, 4.0]",PHI
NE @ IND,-2.62,3.0,"[6.5, 4.0]",
PIT @ TEN,4.21,-5.5,"[-5.5, -8.0]",TEN
