TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFFENSE  DVOA,OFF.  RANK,DEFENSE  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-25.8%,31,-20.0%,30,1-4,-29.8%,31,-7.1%,8,-3.1%,24
ATL,-16.9%,23,-8.2%,24,1-4,6.6%,11,21.1%,31,-2.4%,21
BAL,16.2%,5,11.5%,7,3-2,1.9%,14,-15.9%,4,-1.5%,16
BUF,-42.3%,32,-34.5%,32,2-3,-51.8%,32,-9.0%,7,0.6%,11
CAR,3.8%,8,1.7%,13,3-1,4.1%,12,8.9%,26,8.6%,3
CHI,34.0%,2,11.7%,6,3-1,-2.2%,17,-31.5%,1,4.7%,6
CIN,3.8%,7,1.4%,15,4-1,10.2%,6,3.5%,20,-2.9%,23
CLE,-13.7%,28,-9.3%,26,2-2-1,-22.0%,30,-20.0%,2,-11.7%,32
DAL,-12.9%,24,-4.5%,23,2-3,-13.1%,26,0.0%,15,0.2%,12
DEN,1.5%,14,-2.0%,17,2-3,7.2%,10,3.8%,22,-2.0%,19
DET,-25.9%,27,-16.1%,29,2-3,-3.8%,21,17.1%,30,-5.0%,27
GB,3.6%,10,6.5%,11,2-2-1,9.6%,7,0.0%,17,-6.0%,30
HOU,1.8%,13,1.7%,14,2-3,-5.9%,23,-3.3%,10,4.5%,7
IND,-2.8%,16,-2.2%,18,1-4,-7.6%,25,-1.2%,13,3.5%,8
JAX,14.3%,4,6.6%,10,3-2,-5.5%,22,-16.9%,3,2.8%,9
KC,33.9%,3,19.6%,2,5-0,34.3%,2,13.3%,28,12.9%,1
LAC,16.7%,12,9.7%,8,3-2,24.4%,3,0.5%,18,-7.2%,31
LAR,39.1%,1,29.1%,1,5-0,38.5%,1,-0.8%,14,-0.1%,13
MIA,16.2%,6,7.0%,9,3-2,-2.9%,18,-12.4%,5,6.6%,5
MIN,-13.0%,25,-3.0%,19,2-2-1,1.6%,15,8.9%,26,-5.7%,29
NE,8.2%,15,12.4%,4,3-2,11.3%,5,1.7%,19,-1.4%,15
NO,17.3%,11,16.8%,3,4-1,23.0%,4,6.5%,25,0.8%,10
NYG,-5.8%,26,-9.1%,25,1-4,0.5%,16,5.4%,24,-0.8%,14
NYJ,0.1%,19,-4.3%,22,2-3,-18.6%,29,-9.3%,6,9.3%,2
OAK,-16.8%,20,-11.7%,27,1-4,2.2%,13,15.8%,29,-3.1%,25
PHI,-6.6%,17,0.7%,16,2-3,-6.9%,24,-2.9%,11,-2.7%,22
PIT,7.0%,21,11.9%,5,2-2-1,8.8%,9,0.0%,16,-1.9%,18
SEA,2.0%,18,2.6%,12,2-3,-2.9%,19,-7.1%,9,-2.1%,20
SF,-22.6%,30,-20.2%,31,1-4,-13.7%,27,3.6%,21,-5.4%,28
TB,-21.9%,29,-13.6%,28,2-2,9.4%,8,27.8%,32,-3.5%,26
TEN,-6.3%,22,-3.7%,20,3-2,-16.3%,28,-2.9%,12,7.1%,4
WAS,-9.0%,9,-4.1%,21,2-2,-3.1%,20,4.2%,23,-1.7%,17
