Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2019,ARI,ATL,6,Sun,4:05PM,1,-17.1%,3.0,1,4.0,-8.500000000000002,0.35,3.35,0.65,"[[3.5, 1.0], [-2.0, -4.0]]",1,ARI,1
2019,ATL,ARI,6,Sun,4:05PM,0,-8.6%,-3.0,-1,-4.0,8.500000000000002,-0.35,-3.35,-0.65,"[[4.0, 2.0], [-1.0, -3.5]]",1,ARI,1
2019,BAL,CIN,6,Sun,1:00PM,1,10.8%,-10.5,6,-4.5,37.40000000000001,10.18,-0.3200000000000003,-4.18,"[[-6.5, -8.5], [-11.5, -14.0]]",0,,1
2019,CAR,TB,6,Sun,9:30AM,0,3.0%,-2.0,11,9.0,7.3,-0.61,-2.61,11.61,"[[4.5, 2.0], [-1.0, -3.0]]",1,TB,0
2019,CIN,BAL,6,Sun,1:00PM,0,-26.6%,10.5,-6,4.5,-37.40000000000001,-10.18,0.3200000000000003,4.18,"[[14.0, 11.5], [8.5, 6.5]]",0,,1
2019,CLE,SEA,6,Sun,1:00PM,1,-7.5%,-1.0,-4,-5.0,-18.7,-1.94,-2.94,-2.06,"[[5.5, 3.5], [0.5, -2.0]]",1,SEA,1
2019,DAL,NYJ,6,Sun,4:25PM,0,14.3%,-7.0,-2,-9.0,33.40000000000001,5.29,-1.71,-7.29,"[[-1.5, -4.0], [-7.0, -9.0]]",1,NYJ,1
2019,DEN,TEN,6,Sun,4:25PM,1,-9.2%,-1.0,16,15.0,-6.699999999999998,0.75,-0.25,15.25,"[[3.0, 1.0], [-2.0, -4.5]]",0,,0
2019,DET,GB,6,Mon,8:15PM,0,5.2%,3.5,-1,2.5,-3.7,-3.03,0.4700000000000002,2.03,"[[6.5, 4.5], [1.5, -0.5]]",0,,1
2019,GB,DET,6,Mon,8:15PM,1,8.9%,-3.5,1,-2.5,3.7,3.03,-0.4700000000000002,-2.03,"[[0.5, -1.5], [-4.5, -6.5]]",0,,1
2019,HOU,KC,6,Sun,1:00PM,0,8.2%,3.5,7,10.5,-11.400000000000002,-4.7,-1.2000000000000002,11.7,"[[8.5, 6.0], [3.0, 1.0]]",0,,0
2019,JAX,NO,6,Sun,1:00PM,1,-1.5%,-2.5,-7,-9.5,-16.2,-1.37,-3.87,-5.63,"[[5.0, 3.0], [-0.0, -2.5]]",1,NO,1
2019,KC,HOU,6,Sun,1:00PM,1,19.6%,-3.5,-7,-10.5,11.400000000000002,4.7,1.2000000000000002,-11.7,"[[-1.0, -3.0], [-6.0, -8.5]]",0,,0
2019,LAC,PIT,6,Sun,8:20PM,1,4.6%,-6.0,-7,-13.0,5.8,3.49,-2.51,-10.49,"[[0.0, -2.0], [-5.0, -7.0]]",1,PIT,1
2019,LAR,SF,6,Sun,4:05PM,1,7.9%,-3.0,-13,-16.0,-17.9,-1.76,-4.76,-11.24,"[[5.5, 3.5], [0.5, -2.0]]",0,,1
2019,MIA,WAS,6,Sun,1:00PM,1,-57.0%,6.0,-1,5.0,-32.0,-4.96,1.04,3.96,"[[8.5, 6.5], [3.5, 1.5]]",0,,1
2019,MIN,PHI,6,Sun,1:00PM,1,8.6%,-3.5,18,14.5,-7.4,0.59,-2.91,17.41,"[[3.0, 1.0], [-2.0, -4.5]]",1,PHI,0
2019,NE,NYG,6,Thu,8:20PM,1,37.9%,-16.5,21,4.5,53.7,13.47,-3.03,7.5299999999999985,"[[-10.0, -12.0], [-15.0, -17.0]]",1,NYG,0
2019,NO,JAX,6,Sun,1:00PM,0,14.7%,2.5,7,9.5,16.2,1.37,3.87,5.63,"[[2.5, 0.0], [-3.0, -5.0]]",1,NO,1
2019,NYG,NE,6,Thu,8:20PM,0,-15.8%,16.5,-21,-4.5,-53.7,-13.47,3.03,-7.5299999999999985,"[[17.0, 15.0], [12.0, 10.0]]",1,NYG,0
2019,NYJ,DAL,6,Sun,4:25PM,1,-19.1%,7.0,2,9.0,-33.40000000000001,-5.29,1.71,7.29,"[[9.0, 7.0], [4.0, 1.5]]",1,NYJ,1
