TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,-5.4%,22,-2.9%,15,3-7-1,7.9%,8,10.9%,29,-2.4%,28
ATL,-14.4%,24,-15.1%,27,3-8,-3.2%,20,8.9%,28,-2.4%,29
BAL,41.3%,2,44.0%,1,9-2,29.0%,1,-9.1%,4,3.2%,2
BUF,-0.9%,25,0.4%,14,8-3,-4.1%,21,-5.4%,9,-2.2%,26
CAR,-13.9%,27,-16.6%,28,5-6,-9.5%,24,2.3%,20,-2.0%,25
CHI,-5.5%,15,-7.8%,22,5-6,-14.8%,27,-8.2%,6,1.2%,11
CIN,-34.2%,30,-33.2%,31,0-11,-24.4%,31,14.9%,30,5.0%,1
CLE,2.0%,20,1.0%,12,5-6,-0.7%,18,-1.9%,13,0.8%,15
DAL,23.0%,4,22.4%,6,6-5,28.2%,2,1.3%,19,-4.0%,32
DEN,-11.8%,18,-11.1%,26,3-8,-12.5%,26,-3.8%,12,-3.1%,31
DET,-4.5%,13,-6.5%,19,3-7-1,1.0%,16,7.4%,24,1.9%,6
GB,5.4%,9,4.0%,10,8-3,11.9%,7,6.1%,22,-0.4%,19
HOU,-5.0%,17,-5.8%,18,7-4,1.3%,15,7.9%,26,1.6%,8
IND,-0.9%,14,1.2%,11,6-5,-0.3%,17,-0.9%,15,-1.4%,23
JAX,-7.9%,16,-9.8%,23,4-7,-1.6%,19,7.2%,23,0.8%,14
KC,27.3%,3,26.7%,4,7-4,23.8%,3,-1.8%,14,1.7%,7
LAC,-7.1%,19,-7.6%,21,4-7,3.1%,12,7.5%,25,-2.8%,30
LAR,-2.2%,12,-3.6%,16,6-5,-6.7%,22,-4.0%,11,0.5%,16
MIA,-47.9%,32,-44.3%,32,2-9,-23.2%,29,25.2%,32,0.5%,17
MIN,17.8%,7,19.2%,7,8-3,13.6%,5,-4.5%,10,-0.3%,18
NE,42.5%,1,41.4%,2,10-1,6.0%,10,-35.4%,1,1.0%,13
NO,20.7%,6,22.6%,5,9-2,12.9%,6,-5.5%,8,2.2%,4
NYG,-21.6%,29,-22.8%,29,2-9,-12.4%,25,8.3%,27,-1.0%,22
NYJ,-11.9%,28,-10.6%,25,4-7,-23.3%,30,-8.4%,5,3.0%,3
OAK,-9.9%,11,-10.0%,24,6-5,6.5%,9,15.5%,31,-0.9%,21
PHI,8.6%,10,9.5%,9,5-6,2.3%,14,-7.0%,7,-0.7%,20
PIT,-3.9%,21,-3.9%,17,6-5,-19.1%,28,-13.9%,3,1.3%,9
SEA,17.8%,8,18.5%,8,9-2,19.9%,4,-0.1%,16,-2.2%,27
SF,34.3%,5,33.8%,3,10-1,4.2%,11,-28.8%,2,1.2%,10
TB,-6.6%,26,-7.2%,20,4-7,-7.4%,23,0.3%,17,1.1%,12
TEN,0.0%,23,0.6%,13,6-5,2.7%,13,1.0%,18,-1.8%,24
WAS,-31.8%,31,-32.8%,30,2-9,-29.3%,32,4.6%,21,2.1%,5
