Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick
2019,ARI,CIN,5,Sun,1:00PM,0,-17.0%,3.0,3,6.0,11.899999999999999,0.41,3.41,2.59,"[[3.5, 1.0], [-2.0, -4.0]]",1,ARI
2019,ATL,HOU,5,Sun,1:00PM,0,-3.3%,4.0,-21,-17.0,-7.3999999999999995,-3.84,0.16000000000000014,-17.16,"[[7.5, 5.5], [2.5, 0.0]]",0,
2019,BAL,PIT,5,Sun,1:00PM,0,10.8%,-3.5,3,-0.5,14.200000000000001,0.92,-2.58,2.08,"[[3.0, 0.5], [-2.5, -4.5]]",1,PIT
2019,BUF,TEN,5,Sun,1:00PM,0,-6.4%,3.5,7,10.5,-10.3,-4.46,-0.96,11.46,"[[8.0, 6.0], [3.0, 1.0]]",0,
2019,CAR,JAX,5,Sun,1:00PM,1,4.1%,-3.0,7,4.0,10.1,4.42,1.42,2.58,"[[-0.5, -3.0], [-6.0, -8.0]]",1,CAR
2019,CHI,OAK,5,Sun,1:00PM,0,6.9%,-6.5,-3,-9.5,17.200000000000003,1.6,-4.9,-4.6,"[[2.0, -0.0], [-3.0, -5.5]]",0,
2019,CIN,ARI,5,Sun,1:00PM,1,-28.9%,-3.0,-3,-6.0,-11.899999999999999,-0.41,-3.41,-2.59,"[[4.0, 2.0], [-1.0, -3.5]]",1,ARI
2019,CLE,SF,5,Mon,8:15PM,0,2.9%,5.0,-28,-23.0,-11.1,-4.64,0.3600000000000003,-23.36,"[[8.5, 6.0], [3.0, 1.0]]",0,
2019,DAL,GB,5,Sun,4:25PM,1,19.1%,-3.5,-10,-13.5,13.000000000000002,5.05,1.5499999999999998,-15.05,"[[-1.5, -3.5], [-6.5, -9.0]]",1,DAL
2019,DEN,LAC,5,Sun,4:05PM,0,-12.7%,4.0,7,11.0,-21.6,-6.88,-2.88,13.879999999999999,"[[10.5, 8.5], [5.5, 3.0]]",1,LAC
2019,GB,DAL,5,Sun,4:25PM,0,6.1%,3.5,10,13.5,-13.000000000000002,-5.05,-1.5499999999999998,15.05,"[[9.0, 6.5], [3.5, 1.5]]",1,DAL
2019,HOU,ATL,5,Sun,1:00PM,1,4.1%,-4.0,21,17.0,7.3999999999999995,3.84,-0.16000000000000014,17.16,"[[-0.0, -2.5], [-5.5, -7.5]]",0,
2019,IND,KC,5,Sun,8:20PM,0,-10.1%,10.5,6,16.5,-31.5,-8.96,1.5399999999999991,14.96,"[[12.5, 10.5], [7.5, 5.5]]",1,IND
2019,JAX,CAR,5,Sun,1:00PM,0,-6.0%,3.0,-7,-4.0,-10.1,-4.42,-1.42,-2.58,"[[8.0, 6.0], [3.0, 0.5]]",1,CAR
2019,KC,IND,5,Sun,8:20PM,1,21.4%,-10.5,-6,-16.5,31.5,8.96,-1.5399999999999991,-14.96,"[[-5.5, -7.5], [-10.5, -12.5]]",1,IND
