Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,NYG,7,Sun,October 20,1:00PM,0,boxscore,27,21,245,0,263,3,-17.5%,3.5
ATL,LAR,7,Sun,October 20,1:00PM,1,boxscore,10,37,381,0,224,3,-10.3%,3.0
BAL,SEA,7,Sun,October 20,4:25PM,0,boxscore,30,16,340,0,347,2,10.2%,3.0
BUF,MIA,7,Sun,October 20,1:00PM,1,boxscore,31,21,305,0,381,2,-5.8%,-17.0
CHI,NO,7,Sun,October 20,4:25PM,1,boxscore,25,36,424,0,252,2,6.2%,-4.0
CIN,JAX,7,Sun,October 20,1:00PM,1,boxscore,17,27,460,0,291,4,-26.8%,4.0
DAL,PHI,7,Sun,October 20,8:20PM,1,boxscore,37,10,402,1,283,4,13.8%,-3.0
DEN,KC,7,Thu,October 17,8:20PM,1,boxscore,6,30,271,0,205,1,-4.6%,3.0
DET,MIN,7,Sun,October 20,1:00PM,1,boxscore,30,42,504,0,433,1,4.9%,2.5
GB,OAK,7,Sun,October 20,1:00PM,1,boxscore,42,24,481,0,484,2,12.9%,-5.5
HOU,IND,7,Sun,October 20,1:00PM,0,boxscore,23,30,383,1,391,2,7.3%,1.5
IND,HOU,7,Sun,October 20,1:00PM,1,boxscore,30,23,383,1,391,2,-7.4%,-1.5
JAX,CIN,7,Sun,October 20,1:00PM,0,boxscore,27,17,460,0,291,4,-3.0%,-4.0
KC,DEN,7,Thu,October 17,8:20PM,0,boxscore,30,6,271,0,205,1,20.6%,-3.0
LAC,TEN,7,Sun,October 20,4:05PM,0,boxscore,20,23,403,1,365,1,2.5%,3.0
LAR,ATL,7,Sun,October 20,1:00PM,0,boxscore,37,10,381,0,224,3,8.8%,-3.0
MIA,BUF,7,Sun,October 20,1:00PM,0,boxscore,21,31,305,0,381,2,-59.3%,17.0
MIN,DET,7,Sun,October 20,1:00PM,0,boxscore,42,30,504,0,433,1,15.2%,-2.5
NE,NYJ,7,Mon,October 21,8:15PM,0,boxscore,33,0,323,1,154,6,40.6%,-9.5
NO,CHI,7,Sun,October 20,4:25PM,0,boxscore,36,25,424,0,252,2,13.7%,4.0
NYG,ARI,7,Sun,October 20,1:00PM,1,boxscore,21,27,245,0,263,3,-18.0%,-3.5
NYJ,NE,7,Mon,October 21,8:15PM,1,boxscore,0,33,323,1,154,6,-16.8%,9.5
OAK,GB,7,Sun,October 20,1:00PM,0,boxscore,24,42,481,0,484,2,-2.5%,5.5
PHI,DAL,7,Sun,October 20,8:20PM,0,boxscore,10,37,402,1,283,4,12.1%,3.0
SEA,BAL,7,Sun,October 20,4:25PM,1,boxscore,16,30,340,0,347,2,12.6%,-3.0
SF,WAS,7,Sun,October 20,1:00PM,0,boxscore,9,0,283,1,154,1,24.1%,-10.0
TEN,LAC,7,Sun,October 20,4:05PM,1,boxscore,23,20,403,1,365,1,-10.9%,-3.0
WAS,SF,7,Sun,October 20,1:00PM,1,boxscore,0,9,283,1,154,1,-24.6%,10.0
