Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2017,-7.0,44.0,3,-4.0,-1,0,0,0,IND,0.0,34.0,32.0,31.0,55.0,23.0,62.0,22.0,35.0,88.0,10.0,90.0,6.0,70.0,63.0,28.0,1,0,0,0.0,0.0,60.0,10.0,25.0,26.0,100.0,82.0,11.0,17.0,25.0,17.0,26.0,31.0,46.0,32.0,0.0,44.0,12.0,75.0,10.0,60.0,26.0,82.0,17.0,17.0
ATL,2,2017,-3.0,55.0,11,8.0,1,1,0,0,GNB,100.0,58.0,53.0,72.0,65.0,70.0,71.0,40.0,68.0,50.0,40.0,80.0,19.0,42.0,82.0,73.0,0,0,0,100.0,61.0,60.0,30.0,22.0,32.0,37.0,65.0,48.0,73.0,66.0,90.0,100.0,39.0,67.0,62.0,88.0,61.0,87.0,50.0,30.0,60.0,32.0,65.0,73.0,90.0
BAL,2,2017,-7.5,39.5,14,6.5,1,1,0,0,CLE,100.0,77.0,74.0,29.0,84.0,61.0,67.0,52.0,62.0,0.0,50.0,90.0,79.0,73.0,0.0,86.0,0,0,0,0.0,46.0,30.0,10.0,7.0,14.0,97.0,100.0,48.0,29.0,45.0,40.0,58.0,17.0,54.0,1.0,39.0,40.0,36.0,50.0,10.0,30.0,14.0,100.0,29.0,40.0
BUF,2,2017,6.5,43.0,-6,0.5,1,0,0,0,CAR,100.0,62.0,68.0,51.0,82.0,43.0,73.0,56.0,100.0,38.0,10.0,80.0,100.0,98.0,45.0,73.0,1,0,0,100.0,77.0,100.0,40.0,23.0,52.0,70.0,90.0,49.0,25.0,65.0,77.0,74.0,30.0,80.0,30.0,84.0,72.0,68.0,50.0,40.0,100.0,52.0,90.0,25.0,77.0
CAR,2,2017,-6.5,43.0,6,-0.5,-1,1,0,0,BUF,100.0,77.0,74.0,30.0,80.0,30.0,84.0,72.0,68.0,50.0,40.0,100.0,52.0,90.0,25.0,77.0,0,0,0,100.0,62.0,80.0,10.0,53.0,100.0,87.0,98.0,53.0,45.0,77.0,73.0,68.0,51.0,82.0,43.0,73.0,56.0,100.0,38.0,10.0,80.0,100.0,98.0,45.0,73.0
CIN,2,2017,-5.0,38.0,-4,-9.0,-1,1,1,0,HOU,0.0,23.0,32.0,16.0,71.0,39.0,48.0,33.0,38.0,100.0,10.0,50.0,27.0,21.0,14.0,100.0,0,1,0,0.0,20.0,0.0,0.0,43.0,37.0,58.0,23.0,29.0,0.0,52.0,94.0,47.0,0.0,68.0,53.0,65.0,61.0,30.0,100.0,0.0,0.0,37.0,23.0,0.0,94.0
CLE,2,2017,7.5,39.5,-14,-6.5,-1,0,0,0,BAL,0.0,46.0,58.0,17.0,54.0,1.0,39.0,40.0,36.0,50.0,10.0,30.0,14.0,100.0,29.0,40.0,1,0,0,100.0,77.0,90.0,50.0,37.0,79.0,68.0,73.0,35.0,0.0,100.0,86.0,74.0,29.0,84.0,61.0,67.0,52.0,62.0,0.0,50.0,90.0,79.0,73.0,0.0,86.0
DAL,2,2017,-2.5,44.0,-25,-27.5,-1,0,0,0,DEN,100.0,72.0,74.0,48.0,73.0,47.0,83.0,48.0,91.0,38.0,30.0,90.0,61.0,100.0,63.0,64.0,1,0,0,100.0,54.0,60.0,10.0,40.0,68.0,80.0,81.0,55.0,29.0,41.0,69.0,74.0,33.0,72.0,63.0,83.0,61.0,69.0,62.0,10.0,60.0,68.0,81.0,29.0,69.0
DEN,2,2017,2.5,44.0,25,27.5,1,1,0,0,DAL,100.0,54.0,74.0,33.0,72.0,63.0,83.0,61.0,69.0,62.0,10.0,60.0,68.0,81.0,29.0,69.0,0,0,0,100.0,72.0,90.0,30.0,46.0,61.0,80.0,100.0,52.0,63.0,58.0,64.0,74.0,48.0,73.0,47.0,83.0,48.0,91.0,38.0,30.0,90.0,61.0,100.0,63.0,64.0
DET,2,2017,3.0,42.0,14,17.0,1,0,0,0,NYG,100.0,66.0,68.0,45.0,69.0,77.0,78.0,38.0,65.0,12.0,10.0,90.0,30.0,94.0,72.0,37.0,1,0,0,0.0,28.0,70.0,10.0,20.0,0.0,54.0,39.0,42.0,36.0,48.0,37.0,26.0,27.0,52.0,53.0,52.0,17.0,9.0,62.0,10.0,70.0,0.0,39.0,36.0,37.0
