Team,Week,Opponent,Home Team,Short Week,Off Bye Week,Year,Games Played,W-L%,Point Differential,Spread,Over/Under,Sacks Against,Sacks For,Yards per Rush For,Rushing Yards For,Yards per Rush Against,Rushing Yards Against,Passer Rating For,Passing Yards For,Passer Rating Against,Passing Yards Against,Time of Poss,Yards For per Play,Yards Against per Play,Penalty Yards Committed,Penalty Yards Received,3rd Down %_For,3rd Down % Against,Total Yard Margin,Turnover Margin,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,16,SEA,0,0,0,2019,14,0.321,-88,8.0,51.0,47,34,4.91,1666,4.45,1718,87.5,2996,111.9,4066,06:25:04,5.3586,6.1206,846,895,35.5%,47.8%,-1122,3,14,22.0,-2
ATL,16,JAX,1,0,0,2019,14,0.357,-36,-7.5,48.0,43,24,3.73,1139,4.05,1524,95.3,4045,99.5,3552,07:05:25,5.5385,5.7682,839,947,41.5%,42.7%,108,-6,12,4.5,1
BAL,16,CLE,0,0,0,2019,14,0.857,215,-9.5,48.5,25,34,5.53,2830,4.52,1346,111.6,2906,78.5,3054,08:02:46,6.2011,5.3790,782,686,46.3%,37.6%,1336,10,16,6.5,1
BUF,16,NWE,0,1,0,2019,14,0.714,69,7.0,38.5,35,42,4.48,1889,4.36,1420,84.6,2817,76.7,2667,07:09:58,5.2058,4.7969,841,772,37.4%,34.8%,619,5,-7,0.0,0
CAR,16,IND,0,0,0,2019,14,0.357,-66,7.5,46.0,51,49,4.87,1691,5.19,1963,78.8,3163,87.1,3326,06:45:53,5.1804,5.7930,654,896,32.2%,40.4%,-435,-8,-32,-24.5,2
CHI,16,KAN,1,0,0,2019,14,0.500,3,6.5,45.5,38,31,3.54,1199,3.77,1352,85.2,2979,85.6,3184,07:00:05,4.7156,5.0011,754,812,34.6%,34.9%,-358,-2,-23,-16.5,2
CIN,16,MIA,0,0,0,2019,14,0.071,-148,-1.5,46.0,43,23,3.98,1279,4.92,2212,73.3,3099,96.0,3272,06:45:44,4.8862,6.1411,664,908,35.3%,43.9%,-1106,-16,-3,-4.5,-1
CLE,16,BAL,1,0,0,2019,14,0.429,-32,9.5,48.5,34,37,5.00,1770,4.93,1893,78.2,3131,87.7,3050,07:04:22,5.6528,5.6491,1011,766,37.4%,34.1%,-42,-6,-16,-6.5,1
DAL,16,PHI,0,0,0,2019,14,0.500,90,-2.0,47.0,18,36,4.73,1876,4.06,1450,99.2,4200,92.6,3080,06:54:37,6.4984,5.1186,907,815,48.6%,34.3%,1546,-1,-8,-10.0,-2
DEN,16,DET,1,0,0,2019,14,0.357,-45,-9.5,40.0,39,34,4.13,1442,4.15,1590,82.5,2749,89.6,3134,06:46:21,5.0494,5.3439,801,866,31.5%,38.0%,-533,1,10,0.5,1
DET,16,DEN,0,0,0,2019,14,0.250,-69,9.5,40.0,38,27,3.83,1382,4.04,1585,90.6,3671,102.5,4041,06:57:28,5.5164,5.9787,819,813,42.1%,44.5%,-573,-5,-10,-0.5,1
GNB,16,MIN,0,0,0,2019,14,0.786,47,4.0,47.0,32,35,4.27,1491,4.58,1693,100.2,3222,84.3,3505,07:10:52,5.4866,5.8470,657,888,35.5%,40.0%,-485,14,13,17.0,-2
HOU,16,TAM,0,1,0,2019,14,0.643,11,-3.0,50.0,40,28,4.78,1832,4.62,1586,99.8,3430,100.8,3725,06:59:26,5.9190,5.9809,822,777,46.1%,48.0%,-49,-2,3,0.0,0
IND,16,CAR,1,0,0,2019,14,0.429,-26,-7.5,46.0,26,33,4.32,1780,4.18,1413,87.2,2859,102.0,3497,07:09:15,5.1602,5.7833,634,967,42.4%,42.1%,-271,0,32,24.5,2
JAX,16,ATL,0,0,0,2019,14,0.357,-103,7.5,48.0,36,43,4.48,1526,5.15,1962,89.8,3301,96.1,3252,07:06:59,5.3933,5.9862,1102,783,33.3%,41.2%,-387,-3,-12,-4.5,1
