Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,ATL,2019,6,1,3.0,-17.1,-8.500000000000002,0.35,3.35,37.0,71.0,0.0,0.7419347902264927,33.0,0.0,2.152835664053028,0.7921510229476041,51.0,49.0,-5.6608165612420915,0.2748565399006474,33.0,11.0,-4.423883542752067,0.12569501376334352,51.0,41.0,-4.535471728335732,0.5197566585079751,33.0,82.0,0.0,-0.36717409308874915,1,1,1,4.0,1
ATL,ARI,2019,6,0,-3.0,-8.6,8.500000000000002,-0.35,-3.35,0.0,33.0,-15.868191214470292,-0.9585985329291293,71.0,37.0,0.0,0.8771168375966444,11.0,33.0,0.0,-0.08308206907619775,49.0,51.0,0.0,0.2286183375408294,82.0,33.0,0.0,0.22070411051366962,41.0,51.0,0.0,0.08521293629757831,-1,1,-1,-4.0,-1
BAL,CIN,2019,6,1,-10.5,10.8,37.40000000000001,10.18,-0.3200000000000003,21.0,37.0,-10.562314914831735,-0.46545167412003774,58.0,5.0,0.0,0.09333748901785682,95.0,7.0,0.0,-0.51364627233932,76.0,6.0,0.0,0.4984910936483212,56.0,49.0,0.0,0.6249974784633825,27.0,60.0,-5.391663462625799,-0.23696179717121144,-1,1,6,-4.5,-1
CAR,TAM,2019,6,0,-2.0,3.0,7.3,-0.61,-2.61,79.0,45.0,0.0,0.2999385909953124,62.0,32.0,0.0,-0.3094490281518176,62.0,94.0,-4.7994139886578395,0.7355321578827759,37.0,39.0,0.0,-0.6652907210625073,47.0,0.0,0.0,-0.7053768213783246,78.0,56.0,0.0,0.5145932995717185,-1,-1,11,9.0,1
CIN,BAL,2019,6,0,10.5,-26.6,-37.40000000000001,-10.18,0.3200000000000003,5.0,58.0,-3.9981037240118766,0.8096406136751348,37.0,21.0,0.0,0.9739441329677928,6.0,76.0,0.0,-0.008213502672478973,7.0,95.0,-5.865107852641789,-0.15721427198458604,60.0,27.0,-4.879197431781705,0.17882389301983487,49.0,56.0,0.0,-0.40087212583318566,1,1,-6,4.5,1
CLE,SEA,2019,6,1,-1.0,-7.5,-18.7,-1.94,-2.94,58.0,66.0,2.367547981608805,0.8219555508803951,54.0,26.0,0.0,0.9314195127806606,41.0,85.0,0.0,-0.0365043113922906,22.0,48.0,5.460237185929644,0.2969257005556466,47.0,33.0,15.932557038312517,0.9099286500548156,72.0,63.0,-0.10684318414759986,0.460356490817472,-1,1,-4,-5.0,-1
DAL,NYJ,2019,6,0,-7.0,14.3,33.40000000000001,5.29,-1.71,37.0,0.0,0.0,0.6933316433140418,96.0,13.0,5.586022370754331,0.7412128594048596,60.0,78.0,-7.7577299682802385,0.4096033702942872,66.0,10.0,0.0,0.6539628779496676,82.0,39.0,0.0,0.8852166204545315,63.0,0.0,0.0,0.7736061012369283,-1,1,-2,-9.0,-1
DEN,TEN,2019,6,1,-1.0,-9.2,-6.699999999999998,0.75,-0.25,0.0,28.0,0.0,-0.1467317283124358,62.0,63.0,0.13928774502469388,0.570142911505234,45.0,63.0,0.0,-0.00719351605178975,44.0,43.0,0.0,0.30783681998252715,48.0,59.0,0.0,-0.8955286909480957,75.0,32.0,0.0,-0.5492044406162111,-1,-1,16,15.0,1
DET,GNB,2019,6,0,3.5,5.2,-3.7,-3.03,0.4700000000000002,33.0,79.0,0.0,0.11421824233293532,84.0,53.0,0.0,-0.9845990240264628,46.0,33.0,-1.2653532396565152,-0.9987668220524862,45.0,28.0,0.0,-0.957654703915696,63.0,52.0,0.0,0.727238842987466,26.0,54.0,5.322777253421419,0.9684562051924142,1,1,-1,2.5,1
GNB,DET,2019,6,1,-3.5,8.9,3.7,3.03,-0.4700000000000002,53.0,84.0,0.0,-0.15531178646576171,79.0,33.0,3.330000000000001,0.20400444547644517,28.0,45.0,10.161987804878041,0.6832362991063,33.0,46.0,0.0,-0.4122258878824407,54.0,26.0,0.0,-0.683738642671945,52.0,63.0,6.242823046802172,-0.661523428816557,-1,1,1,-2.5,-1
