Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,CHI,2006,6,1,13.0,-44.6,-96.0,-13.74,-0.7400000000000002,28.0,100.0,0.0,-0.31586085924352075,42.0,72.0,0.0,0.703318509872782,6.0,91.0,0.0,0.9223356011809741,46.0,29.0,5.44474359761715,0.8378308385978931,58.0,87.0,0.0,-0.47626201481302594,37.0,71.0,12.553325272067715,-0.8602189349287351,-1,-1,-1,12.0,1
ATL,NYG,2006,6,1,-3.0,6.9,1.3000000000000007,2.44,-0.56,42.0,72.0,-0.2956477438136851,0.8906418621163555,59.0,7.0,0.0,0.8618542253489032,100.0,81.0,0.0,0.18084206766571603,97.0,37.0,0.0,0.9897909662649859,5.0,40.0,0.0,0.6068882192349566,60.0,83.0,0.0,0.5835951792447659,-1,1,-13,-16.0,-1
BAL,CAR,2006,6,1,-3.0,41.7,44.1,10.84,7.84,72.0,74.0,-5.421106579962528,0.5558570760473248,84.0,28.0,-4.410495249406177,-0.21777401742515462,22.0,48.0,0.0,0.0750343797247682,93.0,30.0,0.0,-0.08678503505004627,32.0,60.0,0.0,-0.7925921653440193,95.0,36.0,-4.9586860830713215,0.3239465132306116,1,-1,-2,-5.0,-1
BUF,DET,2006,6,0,-1.0,11.5,31.3,4.29,3.29,50.0,32.0,0.0673186896421143,0.7142249530917635,58.0,6.0,2.5637725003781653,0.5017379300252648,26.0,72.0,0.0,-0.07540106872732727,56.0,0.0,0.0,0.31235674459944685,27.0,19.0,0.0,0.2299200639025781,64.0,69.0,0.0,0.38847407444148735,1,-1,-3,-4.0,-1
CAR,BAL,2006,6,0,3.0,-2.4,-44.1,-10.84,-7.84,28.0,84.0,1.524666556346185,0.41782548463125957,74.0,72.0,0.0,-0.9385392664539538,30.0,93.0,0.0,0.02017437681151743,48.0,22.0,0.0,-0.1301423340979991,36.0,95.0,0.0,0.4423630602259081,60.0,32.0,0.0,-0.21731009483480673,-1,-1,2,5.0,1
CHI,ARI,2006,6,0,-13.0,51.4,96.0,13.74,0.7400000000000002,72.0,42.0,0.0,0.5346896863641589,100.0,28.0,0.0,-0.5895803978689571,29.0,46.0,0.0,0.36098592283502584,91.0,6.0,0.0,0.252797148208481,71.0,37.0,0.0,-0.14472174730348009,87.0,58.0,0.0,0.8338893511083559,1,-1,1,-12.0,-1
CIN,TAM,2006,6,0,-5.0,9.9,43.2,6.82,1.8200000000000005,42.0,86.0,0.0,0.9898922047642531,33.0,21.0,0.0,-0.005675596234951744,28.0,9.0,18.003122238586165,0.5471930999399939,27.0,11.0,18.06412978802525,0.9999886981468753,48.0,82.0,0.0,-0.9717674565947081,60.0,46.0,0.0,0.681242167181446,1,-1,-1,-6.0,-1
DAL,HOU,2006,6,1,-13.0,33.2,71.9,16.02,3.02,56.0,33.0,0.0,-0.944148688621476,66.0,28.0,10.440672234945431,0.9693682304291481,50.0,31.0,9.289228701406113,0.5534865323079708,92.0,9.0,0.0,0.12342612761657451,49.0,0.0,0.0,-0.5140494853287843,51.0,44.0,12.906051779935272,0.9998671519107337,1,1,28,15.0,1
DEN,OAK,2006,6,1,-16.0,-6.8,43.3,10.69,-5.3100000000000005,14.0,0.0,0.0,-0.7293178850795332,99.0,0.0,0.0,-0.9773545359537914,47.0,21.0,0.0,-0.9998165105373737,63.0,34.0,14.009212598425194,0.14377477717253473,26.0,96.0,0.0,-0.08946550612990306,61.0,0.0,0.0,0.45079588683818406,-1,1,10,-6.0,-1
DET,BUF,2006,6,1,1.0,-19.8,-31.3,-4.29,-3.29,6.0,58.0,0.0,0.9974225074866888,32.0,50.0,-5.050665576833253,0.8634021564797673,0.0,56.0,0.0,0.9254842110646657,72.0,26.0,0.0,0.012692151156742035,69.0,64.0,-5.0560760475944155,0.32852727267629844,19.0,27.0,0.0,0.3855834609406772,-1,-1,3,4.0,1
