Game,EGO,Spread,Spread Target,Pick
IND @ TEN,-0.41,2.0,"[4.0, 2.0]",IND
HOU @ CLE,-1.67,3.0,"[5.5, 3.0]",HOU
JAX @ GB,-8.73,13.5,"[12.5, 10.0]",
PHI @ NYG,-1.15,-3.5,"[-0.5, -2.5]",
TB @ CAR,3.27,-4.5,"[-5.0, -7.0]",
WAS @ DET,-4.79,3.5,"[3.5, 1.0]",DET
BUF @ ARI,-2.34,2.0,"[1.0, -1.5]",
DEN @ LV,-4.29,5.0,"[8.0, 6.0]",
LAC @ MIA,-3.36,2.5,"[2.0, -0.5]",
CIN @ PIT,-10.14,7.5,"[8.5, 6.5]",PIT
SEA @ LAR,-1.65,1.5,"[5.5, 3.0]",
SF @ NO,-7.07,10.0,"[11.0, 8.5]",SF
BAL @ NE,4.87,-7.0,"[-6.5, -8.5]",NE
MIN @ CHI,-1.23,-2.5,"[-0.5, -2.5]",CHI
