Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ATL,CAR,5,Sun,1:00PM,1,-0.5%,1.5,-7,-5.5
2020,BAL,CIN,5,Sun,1:00PM,1,17.7%,-4.0,24,20.0
2020,BUF,TEN,5,Tue,7:00PM,0,6.3%,-4.5,-26,-30.5
2020,CAR,ATL,5,Sun,1:00PM,0,-11.7%,-1.5,7,5.5
2020,CHI,TB,5,Thu,8:20PM,1,-4.9%,4.0,1,5.0
2020,CIN,BAL,5,Sun,1:00PM,0,-12.1%,7.0,-24,-17.0
2020,CLE,IND,5,Sun,4:25PM,1,-2.6%,-2.5,9,6.5
2020,DAL,NYG,5,Sun,4:25PM,1,3.6%,11.0,3,14.0
2020,IND,CLE,5,Sun,4:25PM,0,12.3%,-3.0,-9,-12.0
2020,KC,LV,5,Sun,1:00PM,1,22.6%,-20.0,-8,-28.0
2020,LAC,NO,5,Mon,8:15PM,0,-3.2%,-3.5,-3,-6.5
2020,LAR,WAS,5,Sun,1:00PM,0,8.3%,-3.5,20,16.5
2020,LV,KC,5,Sun,1:00PM,0,-6.7%,2.5,8,10.5
2020,MIA,SF,5,Sun,4:05PM,0,-14.1%,3.5,26,29.5
2020,MIN,SEA,5,Sun,8:20PM,0,-0.7%,6.5,-1,5.5
2020,NO,LAC,5,Mon,8:15PM,1,19.6%,-4.0,3,-1.0
2020,NYG,DAL,5,Sun,4:25PM,0,-14.5%,12.5,-3,9.5
2020,NYJ,ARI,5,Sun,1:00PM,1,-16.6%,20.0,-20,0.0
2020,PHI,PIT,5,Sun,1:00PM,0,-5.3%,-11.0,-9,-20.0
2020,PIT,PHI,5,Sun,1:00PM,1,11.4%,4.0,9,13.0
2020,SEA,MIN,5,Sun,8:20PM,1,12.5%,-3.0,1,-2.0
2020,SF,MIA,5,Sun,4:05PM,1,7.3%,3.0,-26,-23.0
2020,TB,CHI,5,Thu,8:20PM,0,15.2%,-12.5,-1,-13.5
2020,TEN,BUF,5,Tue,7:00PM,1,2.1%,-7.0,26,19.0
