Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,MIA,9,Sun,November 8,4:25PM,1,preview,,,,,,,7.2%,-4.5
ATL,DEN,9,Sun,November 8,1:00PM,1,preview,,,,,,,-4.0%,-4.0
BAL,IND,9,Sun,November 8,1:00PM,0,preview,,,,,,,20.3%,-1.5
BUF,SEA,9,Sun,November 8,1:00PM,1,preview,,,,,,,3.4%,3.0
CAR,KC,9,Sun,November 8,1:00PM,0,preview,,,,,,,-6.5%,10.5
CHI,TEN,9,Sun,November 8,1:00PM,0,preview,,,,,,,-2.9%,6.5
DAL,PIT,9,Sun,November 8,4:25PM,1,preview,,,,,,,-17.2%,14.0
DEN,ATL,9,Sun,November 8,1:00PM,0,preview,,,,,,,-13.6%,4.0
DET,MIN,9,Sun,November 8,1:00PM,0,preview,,,,,,,0.0%,4.0
GB,SF,9,Thu,November 5,8:20PM,0,preview,,,,,,,8.7%,-6.5
HOU,JAX,9,Sun,November 8,1:00PM,0,preview,,,,,,,-4.5%,-7.0
IND,BAL,9,Sun,November 8,1:00PM,1,preview,,,,,,,16.7%,1.5
JAX,HOU,9,Sun,November 8,1:00PM,1,preview,,,,,,,-19.0%,7.0
KC,CAR,9,Sun,November 8,1:00PM,1,preview,,,,,,,24.9%,-10.5
LAC,LV,9,Sun,November 8,4:05PM,1,preview,,,,,,,-2.6%,-1.0
LV,LAC,9,Sun,November 8,4:05PM,0,preview,,,,,,,-8.2%,1.0
MIA,ARI,9,Sun,November 8,4:25PM,0,preview,,,,,,,-1.3%,4.5
MIN,DET,9,Sun,November 8,1:00PM,1,preview,,,,,,,-1.3%,-4.0
NE,NYJ,9,Mon,November 9,8:15PM,0,preview,,,,,,,-11.1%,-7.5
NO,TB,9,Sun,November 8,8:20PM,0,preview,,,,,,,18.3%,4.5
NYG,WAS,9,Sun,November 8,1:00PM,0,preview,,,,,,,-12.5%,2.5
NYJ,NE,9,Mon,November 9,8:15PM,1,preview,,,,,,,-30.5%,7.5
PIT,DAL,9,Sun,November 8,4:25PM,0,preview,,,,,,,19.9%,-14.0
SEA,BUF,9,Sun,November 8,1:00PM,0,preview,,,,,,,15.9%,-3.0
SF,GB,9,Thu,November 5,8:20PM,1,preview,,,,,,,6.6%,6.5
TB,NO,9,Sun,November 8,8:20PM,1,preview,,,,,,,26.6%,-4.5
TEN,CHI,9,Sun,November 8,1:00PM,1,preview,,,,,,,7.3%,-6.5
WAS,NYG,9,Sun,November 8,1:00PM,1,preview,,,,,,,-13.5%,-2.5
