Ref Name,Mapped Name 0,Mapped Name 1
ARI,Arizona Cardinals,ARI
ATL,Atlanta Falcons,ATL
BAL,Baltimore Ravens,BAL
BUF,,
CAR,Carolina Panthers,CAR
CHI,,
CIN,Cincinnati Bengals,CIN
CLE,Cleveland Browns,CLE
DAL,Dallas Cowboys,DAL
DEN,Denver Broncos,DEN
DET,Detroit Lions,DET
GB,Green Bay Packers,GB
HOU,Houston Texans,HOU
IND,Indianapolis Colts,IND
JAX,Jacksonville Jaguars,JAC
KC,Kansas City Chiefs,KC
LAC,Los Angeles Chargers,LAC
LAR,Los Angeles Rams,LAR
LV,Las Vegas Raiders,LV
MIA,Miami Dolphins,MIA
MIN,Minnesota Vikings,MIN
NE,New England Patriots,NE
NO,New Orleans Saints,NO
NYG,,
NYJ,New York Jets,NYJ
PHI,Philadelphia Eagles,PHI
PIT,Pittsburgh Steelers,PIT
SEA,Seattle Seahawks,SEA
SF,,
TB,Tampa Bay Buccaneers,TB
TEN,Tennessee Titans,TEN
WAS,Washington Football Team,WAS
