Game,EGO,Spread,Spread Target,Pick
ARI @ SEA,-3.32,3.0,"[2.0, -0.5]",
ATL @ NO,-9.27,5.0,"[8.0, 5.5]",
CIN @ WAS,-3.73,1.0,"[2.0, 0.0]",WAS
DET @ CAR,-2.18,3.0,"[6.0, 3.5]",
NE @ HOU,-3.29,-1.5,"[2.0, -0.5]",
PHI @ CLE,-3.18,3.5,"[7.0, 4.5]",
PIT @ JAX,5.84,-10.0,"[-7.5, -9.5]",
TEN @ BAL,-4.59,6.5,"[8.5, 6.0]",TEN
MIA @ DEN,3.59,-3.5,"[0.0, -2.0]",
NYJ @ LAC,-6.88,8.5,"[10.5, 8.5]",NYJ
DAL @ MIN,-6.73,7.0,"[10.5, 8.0]",
GB @ IND,-4.1,1.5,"[2.5, 0.5]",IND
KC @ LV,2.9,-7.0,"[-4.5, -6.5]",
LAR @ TB,-5.07,4.0,"[3.5, 1.5]",
