Opening Spread,Team 1,Team 2,Game Time,Betting Spread
-2.5 / +2.5,HOU,DET,Final,-3.0 / +3.0
+1.5 / -1.5,WAS,DAL,Final,+2.5 / -2.5
PK / PK,ARI,NE,1:00 PM ET,-2.0 / +2.0
+4.0 / -4.0,TEN,IND,1:00 PM ET,+3.0 / -3.0
PK / PK,LV,ATL,1:00 PM ET,-3.0 / +3.0
-6.0 / +6.0,CLE,JAC,1:00 PM ET,-7.0 / +7.0
+3.0 / -3.0,NYG,CIN,1:00 PM ET,-6.0 / +6.0
-7.0 / +7.0,MIA,NYJ,1:00 PM ET,-7.0 / +7.0
+3.5 / -3.5,CAR,MIN,1:00 PM ET,+3.0 / -3.0
+6.0 / -6.0,LAC,BUF,1:00 PM ET,+4.5 / -4.5
-5.5 / +5.5,NO,DEN,4:05 PM ET,-14.5 / +14.5
+7.0 / -7.0,SF,LAR,4:05 PM ET,+6.5 / -6.5
-3.0 / +3.0,KC,TB,4:25 PM ET,-3.5 / +3.5
+7.5 / -7.5,CHI,GB,8:20 PM ET,+9.5 / -9.5
-3.0 / +3.0,SEA,PHI,8:15 PM ET,-5.5 / +5.5
+2.5 / -2.5,BAL,PIT,8:00 PM ET,+5.0 / -5.0
