TEAM,TOTAL  DVOA,LAST  WEEK,WDVOA,RANK,W-L,OFF.  DVOA,OFF.  RANK,DEF.  DVOA,DEF.  RANK,S.T.  DVOA,S.T.  RANK
ARI,13.0%,18,6.0%,10,4-2,6.3%,12,-6.2%,9,0.4%,14
ATL,-11.0%,25,-2.8%,20,1-5,-2.4%,22,7.1%,25,-1.5%,22
BAL,30.8%,1,21.4%,3,5-1,0.8%,18,-17.0%,4,13.0%,1
BUF,-2.8%,15,1.4%,13,4-2,7.6%,11,11.5%,29,1.0%,11
CAR,-1.9%,14,-8.3%,23,3-3,4.1%,15,5.0%,21,-0.9%,19
CHI,1.2%,23,-0.7%,16,5-1,-12.6%,26,-16.0%,5,-2.2%,24
CIN,-24.8%,27,-18.8%,30,1-4-1,-22.0%,27,3.8%,18,1.0%,12
CLE,-16.2%,17,-8.9%,24,4-2,-4.8%,23,4.6%,20,-6.8%,31
DAL,-17.5%,16,-12.0%,27,2-4,-5.0%,24,10.2%,28,-2.3%,25
DEN,-14.3%,31,-10.9%,26,2-3,-25.6%,29,-11.1%,6,0.3%,15
DET,-2.8%,24,0.2%,14,2-3,0.4%,19,5.6%,23,2.4%,9
GB,8.9%,6,4.7%,12,4-1,18.4%,4,12.1%,30,2.6%,8
HOU,0.2%,12,-0.5%,15,1-5,9.6%,8,9.4%,27,0.0%,16
IND,24.9%,7,15.7%,6,4-2,-1.2%,21,-18.6%,3,7.4%,2
JAX,-22.9%,26,-16.1%,29,1-5,1.1%,17,18.3%,32,-5.7%,28
KC,22.6%,5,21.9%,2,5-1,26.0%,2,-2.4%,10,-5.8%,29
LAC,-4.1%,22,-2.4%,19,1-4,2.6%,16,-1.0%,12,-7.7%,32
LAR,14.8%,4,10.2%,8,4-2,18.0%,5,-0.4%,13,-3.6%,27
LV,-4.7%,21,-4.2%,22,3-2,14.3%,6,17.8%,31,-1.3%,21
MIA,9.5%,13,-3.1%,21,3-3,4.1%,14,0.5%,15,6.0%,3
MIN,-2.4%,11,-1.9%,17,1-5,-0.3%,20,1.0%,16,-1.1%,20
NE,-5.2%,20,-2.2%,18,2-3,-7.5%,25,-0.2%,14,2.1%,10
NO,20.7%,8,18.0%,4,3-2,7.7%,10,-8.3%,8,4.7%,5
NYG,-26.7%,29,-15.3%,28,1-5,-29.0%,32,2.2%,17,4.5%,6
NYJ,-41.2%,32,-25.0%,32,0-6,-28.8%,31,5.8%,24,-6.6%,30
PHI,-28.2%,30,-9.4%,25,1-4-1,-23.0%,28,4.3%,19,-0.9%,18
PIT,30.5%,9,16.3%,5,5-0,8.4%,9,-19.4%,2,2.6%,7
SEA,24.6%,3,14.0%,7,5-0,26.5%,1,7.6%,26,5.7%,4
SF,7.1%,19,5.4%,11,3-3,4.3%,13,-2.0%,11,0.9%,13
TB,41.1%,2,23.6%,1,4-2,12.1%,7,-29.2%,1,-0.2%,17
TEN,15.9%,10,7.6%,9,5-0,23.7%,3,5.1%,22,-2.7%,26
WAS,-21.0%,28,-19.9%,31,1-5,-27.4%,30,-8.5%,7,-2.1%,23
