Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ATL,CAR,8,Thu,October 29,8:20PM,0,boxscore,25,17,401,1,304,1,-4.9%,1.5
BAL,PIT,8,Sun,November 1,1:00PM,1,boxscore,24,28,221,1,457,4,22.2%,-4.0
BUF,NE,8,Sun,November 1,1:00PM,1,boxscore,24,21,339,1,349,1,3.9%,-4.0
CAR,ATL,8,Thu,October 29,8:20PM,1,boxscore,17,25,401,1,304,1,-6.3%,-1.5
CHI,NO,8,Sun,November 1,4:25PM,1,boxscore,23,26,394,0,329,1,-2.2%,4.5
CIN,TEN,8,Sun,November 1,1:00PM,1,boxscore,31,20,367,0,441,1,-19.6%,5.5
CLE,LV,8,Sun,November 1,1:00PM,1,boxscore,6,16,309,0,223,1,-7.2%,-2.5
DAL,PHI,8,Sun,November 1,8:20PM,0,boxscore,9,23,222,4,265,2,-17.0%,9.5
DEN,LAC,8,Sun,November 1,4:05PM,1,boxscore,31,30,351,1,485,2,-15.8%,3.0
DET,IND,8,Sun,November 1,1:00PM,1,boxscore,21,41,366,0,326,2,2.5%,2.5
GB,MIN,8,Sun,November 1,1:00PM,1,boxscore,22,28,324,0,400,1,7.9%,-6.0
IND,DET,8,Sun,November 1,1:00PM,0,boxscore,41,21,366,0,326,2,14.9%,-2.5
KC,NYJ,8,Sun,November 1,1:00PM,1,boxscore,35,9,496,0,221,1,23.6%,-19.5
LAC,DEN,8,Sun,November 1,4:05PM,0,boxscore,30,31,351,1,485,2,-2.4%,-3.0
LAR,MIA,8,Sun,November 1,1:00PM,0,boxscore,17,28,145,2,471,4,13.3%,-3.5
LV,CLE,8,Sun,November 1,1:00PM,0,boxscore,16,6,309,0,223,1,-6.9%,2.5
MIA,LAR,8,Sun,November 1,1:00PM,1,boxscore,28,17,145,2,471,4,-6.7%,3.5
MIN,GB,8,Sun,November 1,1:00PM,0,boxscore,28,22,324,0,400,1,-1.8%,6.0
NE,BUF,8,Sun,November 1,1:00PM,0,boxscore,21,24,339,1,349,1,-10.0%,4.0
NO,CHI,8,Sun,November 1,4:25PM,0,boxscore,26,23,394,0,329,1,18.5%,-4.5
NYG,TB,8,Mon,November 2,8:15PM,1,boxscore,23,25,344,1,357,2,-15.8%,12.0
NYJ,KC,8,Sun,November 1,1:00PM,0,boxscore,9,35,496,0,221,1,-28.2%,19.5
PHI,DAL,8,Sun,November 1,8:20PM,1,boxscore,23,9,222,4,265,2,-6.8%,-9.5
PIT,BAL,8,Sun,November 1,1:00PM,0,boxscore,28,24,221,1,457,4,17.1%,4.0
SEA,SF,8,Sun,November 1,4:25PM,1,boxscore,37,27,350,0,351,2,12.4%,-3.0
SF,SEA,8,Sun,November 1,4:25PM,0,boxscore,27,37,350,0,351,2,12.1%,3.0
TB,NYG,8,Mon,November 2,8:15PM,0,boxscore,25,23,344,1,357,2,27.2%,-12.0
TEN,CIN,8,Sun,November 1,1:00PM,0,boxscore,20,31,367,0,441,1,8.1%,-5.5
