Season,Game,Week,Day,Time,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI @ SEA,11,Thu,8:20PM,8.5%,3.0,-7,-4.0,-5.0,-3.32,-0.31999999999999984,-3.68,"[[7.0, 5.0], [2.0, -0.5]]",0,,1
2020,ATL @ NO,11,Sun,1:00PM,-2.9%,3.5,-15,-11.5,-33.0,-9.27,-5.77,-5.73,"[[13.0, 11.0], [8.0, 5.5]]",0,,1
2020,CIN @ WAS,11,Sun,1:00PM,-21.9%,1.0,-11,-10.0,-6.899999999999999,-3.73,-2.73,-7.27,"[[7.5, 5.0], [2.0, 0.0]]",1,WAS,1
2020,DAL @ MIN,11,Sun,4:25PM,-18.5%,7.0,3,10.0,-20.9,-6.73,0.2699999999999996,9.73,"[[10.5, 8.0], [5.0, 3.0]]",0,,1
2020,DET @ CAR,11,Sun,1:00PM,-1.1%,-1.0,-20,-21.0,0.19999999999999996,-2.18,-3.18,-17.82,"[[6.0, 3.5], [0.5, -1.5]]",1,CAR,1
2020,GB @ IND,11,Sun,4:25PM,9.5%,1.5,-3,-1.5,-8.600000000000001,-4.1,-2.5999999999999996,1.0999999999999996,"[[8.0, 5.5], [2.5, 0.5]]",1,IND,1
2020,KC @ LV,11,Sun,8:20PM,23.8%,-7.5,4,-3.5,23.0,2.9,-4.6,1.1,"[[1.0, -1.5], [-4.5, -6.5]]",0,,1
2020,LAR @ TB,11,Mon,8:15PM,11.8%,4.0,3,7.0,-13.099999999999998,-5.07,-1.0700000000000003,8.07,"[[9.0, 6.5], [3.5, 1.5]]",0,,0
2020,MIA @ DEN,11,Sun,4:05PM,3.5%,-4.0,-7,-11.0,26.0,3.59,-0.41000000000000014,-10.59,"[[0.0, -2.0], [-5.0, -7.5]]",0,,1
2020,NE @ HOU,11,Sun,1:00PM,-12.1%,-2.0,-7,-9.0,-4.8999999999999995,-3.29,-5.29,-3.71,"[[7.0, 5.0], [2.0, -0.5]]",0,,1
2020,NYJ @ LAC,11,Sun,4:05PM,-29.6%,10.0,-6,4.0,-21.6,-6.88,3.12,0.8799999999999999,"[[10.5, 8.5], [5.5, 3.0]]",1,NYJ,1
2020,PHI @ CLE,11,Sun,1:00PM,-11.3%,2.5,-5,-2.5,-4.4,-3.18,-0.6800000000000002,-1.8199999999999998,"[[7.0, 4.5], [1.5, -0.5]]",0,,1
2020,PIT @ JAX,11,Sun,1:00PM,20.4%,-10.5,24,13.5,35.8,5.84,-4.66,18.16,"[[-2.0, -4.5], [-7.5, -9.5]]",0,,0
2020,TEN @ BAL,11,Sun,1:00PM,3.7%,6.0,6,12.0,-10.899999999999999,-4.59,1.4100000000000001,10.59,"[[8.5, 6.0], [3.0, 1.0]]",1,TEN,1
