Team,Opponent,Week,Day,Date,Time,Home_Team,Unnamed: 7,Points For,Points Against,YdsW,TOW,YdsL,TOL,WDVOA,Betting Spread
ARI,SEA,11,Thu,November 19,8:20PM,0,boxscore,21,28,347,0,314,0,8.5%,3.0
ATL,NO,11,Sun,November 22,1:00PM,0,boxscore,9,24,376,1,248,2,-2.9%,3.5
BAL,TEN,11,Sun,November 22,1:00PM,1,boxscore,24,30,423,1,306,1,14.6%,-6.0
CAR,DET,11,Sun,November 22,1:00PM,1,boxscore,20,0,374,2,185,1,-1.3%,1.0
CIN,WAS,11,Sun,November 22,1:00PM,0,boxscore,9,20,325,1,272,2,-21.9%,1.0
CLE,PHI,11,Sun,November 22,1:00PM,1,boxscore,22,17,324,1,315,3,-6.9%,-2.5
DAL,MIN,11,Sun,November 22,4:25PM,0,boxscore,31,28,376,1,430,2,-18.5%,7.0
DEN,MIA,11,Sun,November 22,4:05PM,1,boxscore,20,13,459,2,223,1,-22.5%,4.0
DET,CAR,11,Sun,November 22,1:00PM,0,boxscore,0,20,374,2,185,1,-1.1%,-1.0
GB,IND,11,Sun,November 22,4:25PM,0,boxscore,31,34,420,2,367,4,9.5%,1.5
HOU,NE,11,Sun,November 22,1:00PM,1,boxscore,27,20,399,0,435,0,-7.2%,2.0
IND,GB,11,Sun,November 22,4:25PM,1,boxscore,34,31,420,2,367,4,18.1%,-1.5
JAX,PIT,11,Sun,November 22,1:00PM,1,boxscore,3,27,373,1,206,4,-15.4%,10.5
KC,LV,11,Sun,November 22,8:20PM,0,boxscore,35,31,460,1,364,1,23.8%,-7.5
LAC,NYJ,11,Sun,November 22,4:05PM,1,boxscore,34,28,376,1,292,1,-8.0%,-10.0
LAR,TB,11,Mon,November 23,8:15PM,0,boxscore,27,24,413,2,251,2,11.8%,4.0
LV,KC,11,Sun,November 22,8:20PM,1,boxscore,31,35,460,1,364,1,0.8%,7.5
MIA,DEN,11,Sun,November 22,4:05PM,0,boxscore,13,20,459,2,223,1,3.5%,-4.0
MIN,DAL,11,Sun,November 22,4:25PM,1,boxscore,28,31,376,1,430,2,2.4%,-7.0
NE,HOU,11,Sun,November 22,1:00PM,0,boxscore,20,27,399,0,435,0,-12.1%,-2.0
NO,ATL,11,Sun,November 22,1:00PM,1,boxscore,24,9,376,1,248,2,30.1%,-3.5
NYJ,LAC,11,Sun,November 22,4:05PM,0,boxscore,28,34,376,1,292,1,-29.6%,10.0
PHI,CLE,11,Sun,November 22,1:00PM,0,boxscore,17,22,324,1,315,3,-11.3%,2.5
PIT,JAX,11,Sun,November 22,1:00PM,0,boxscore,27,3,373,1,206,4,20.4%,-10.5
SEA,ARI,11,Thu,November 19,8:20PM,1,boxscore,28,21,347,0,314,0,13.5%,-3.0
TB,LAR,11,Mon,November 23,8:15PM,1,boxscore,24,27,413,2,251,2,24.9%,-4.0
TEN,BAL,11,Sun,November 22,1:00PM,0,boxscore,30,24,423,1,306,1,3.7%,6.0
WAS,CIN,11,Sun,November 22,1:00PM,1,boxscore,20,9,325,1,272,2,-15.0%,-1.0
