Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,NE,12,Sun,1:00PM,0,8.5%,-2.5,0,-2.5,20.6,2.36,-0.14000000000000012,-2.36,"[[1.5, -1.0], [-4.0, -6.0]]",0,,
2020,ATL,LV,12,Sun,1:00PM,1,-2.9%,3.0,0,3.0,-3.7,1.41,4.41,-1.41,"[[2.5, 0.0], [-3.0, -5.0]]",0,,
2020,BAL,PIT,12,Sun,1:15PM,0,14.6%,4.0,0,4.0,-5.799999999999999,-3.49,0.5099999999999998,3.49,"[[7.0, 5.0], [2.0, -0.0]]",0,,
2020,BUF,LAC,12,Sun,1:00PM,1,4.9%,-5.5,0,-5.5,12.9,5.03,-0.46999999999999975,-5.03,"[[-1.5, -3.5], [-6.5, -8.5]]",0,,
2020,CAR,MIN,12,Sun,1:00PM,0,-1.3%,3.5,0,3.5,-3.7,-3.03,0.4700000000000002,3.03,"[[6.5, 4.5], [1.5, -0.5]]",0,,
2020,CHI,GB,12,Sun,8:20PM,0,0.9%,8.5,0,8.5,-8.6,-4.1,4.4,4.1,"[[8.0, 5.5], [2.5, 0.5]]",0,,
2020,CIN,NYG,12,Sun,1:00PM,1,-21.9%,6.0,0,6.0,-10.099999999999998,-0.01,5.99,0.01,"[[3.5, 1.5], [-1.5, -3.5]]",0,,
2020,CLE,JAX,12,Sun,1:00PM,0,-6.9%,-6.0,0,-6.0,8.5,-0.35,-6.35,0.35,"[[4.0, 2.0], [-1.0, -3.5]]",0,,
2020,DAL,WAS,12,Thu,4:30PM,1,-18.5%,-3.0,0,-3.0,-3.5,1.45,-1.55,-1.45,"[[2.0, 0.0], [-3.0, -5.0]]",1,WAS,
2020,DEN,NO,12,Sun,4:05PM,1,-22.5%,6.0,0,6.0,-52.6,-9.8,-3.8000000000000007,9.8,"[[13.5, 11.5], [8.5, 6.0]]",1,NO,
2020,DET,HOU,12,Thu,12:30PM,1,-1.1%,3.0,0,3.0,6.1,3.56,6.5600000000000005,-3.56,"[[0.0, -2.0], [-5.0, -7.5]]",0,,
2020,GB,CHI,12,Sun,8:20PM,1,9.5%,-8.5,0,-8.5,8.6,4.1,-4.4,-4.1,"[[-0.5, -2.5], [-5.5, -8.0]]",0,,
2020,HOU,DET,12,Thu,12:30PM,0,-7.2%,-3.0,0,-3.0,-6.1,-3.56,-6.5600000000000005,3.56,"[[7.5, 5.0], [2.0, -0.0]]",0,,
