Opening Spread,Team 1,Team 2,Game Time,Betting Spread
+6.5 / -6.5,NYG,PHI,Final,+5.0 / -5.0
-4.0 / +4.0,CLE,CIN,1:00 PM ET,-3.5 / +3.5
-3.0 / +3.0,GB,HOU,1:00 PM ET,-3.0 / +3.0
+1.0 / -1.0,PIT,TEN,1:00 PM ET,+1.0 / -1.0
-10.0 / +10.0,BUF,NYJ,1:00 PM ET,-10.0 / +10.0
+1.0 / -1.0,DET,ATL,1:00 PM ET,+1.5 / -1.5
-3.0 / +3.0,DAL,WAS,1:00 PM ET,+1.0 / -1.0
+7.0 / -7.0,CAR,NO,1:00 PM ET,+6.5 / -6.5
-2.0 / +2.0,TB,LV,4:05 PM ET,-4.0 / +4.0
+7.0 / -7.0,JAC,LAC,4:25 PM ET,+7.5 / -7.5
-9.5 / +9.5,KC,DEN,4:25 PM ET,-7.0 / +7.0
+5.5 / -5.5,SF,NE,4:25 PM ET,+3.0 / -3.0
-3.0 / +3.0,SEA,ARI,8:20 PM ET,-3.5 / +3.5
+7.0 / -7.0,CHI,LAR,8:15 PM ET,+6.0 / -6.0
