Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ATL,CAR,8,Thu,8:20PM,0,-4.90%,1.5,8,9.5
2020,BAL,PIT,8,Sun,1:00PM,1,22.20%,-4.0,-4,-8.0
2020,BUF,NE,8,Sun,1:00PM,1,3.90%,-4.0,3,-1.0
2020,CAR,ATL,8,Thu,8:20PM,1,-6.30%,-1.5,-8,-9.5
2020,CHI,NO,8,Sun,4:25PM,1,-2.20%,4.5,-3,1.5
2020,CIN,TEN,8,Sun,1:00PM,1,-19.60%,5.5,11,16.5
2020,CLE,LV,8,Sun,1:00PM,1,-7.20%,-2.5,-10,-12.5
2020,DAL,PHI,8,Sun,8:20PM,0,-17.00%,9.5,-14,-4.5
2020,DEN,LAC,8,Sun,4:05PM,1,-15.80%,3.0,1,4.0
2020,DET,IND,8,Sun,1:00PM,1,2.50%,2.5,-20,-17.5
2020,GB,MIN,8,Sun,1:00PM,1,7.90%,-6.0,-6,-12.0
2020,IND,DET,8,Sun,1:00PM,0,14.90%,-2.5,20,17.5
2020,KC,NYJ,8,Sun,1:00PM,1,23.60%,-19.5,26,6.5
2020,LAC,DEN,8,Sun,4:05PM,0,-2.40%,-3.0,-1,-4.0
2020,LAR,MIA,8,Sun,1:00PM,0,13.30%,-3.5,-11,-14.5
2020,LV,CLE,8,Sun,1:00PM,0,-6.90%,2.5,10,12.5
2020,MIA,LAR,8,Sun,1:00PM,1,-6.70%,3.5,11,14.5
2020,MIN,GB,8,Sun,1:00PM,0,-1.80%,6.0,6,12.0
2020,NE,BUF,8,Sun,1:00PM,0,-10.00%,4.0,-3,1.0
2020,NO,CHI,8,Sun,4:25PM,0,18.50%,-4.5,3,-1.5
2020,NYG,TB,8,Mon,8:15PM,1,-15.80%,12.0,-2,10.0
2020,NYJ,KC,8,Sun,1:00PM,0,-28.20%,19.5,-26,-6.5
2020,PHI,DAL,8,Sun,8:20PM,1,-6.80%,-9.5,14,4.5
2020,PIT,BAL,8,Sun,1:00PM,0,17.10%,4.0,4,8.0
2020,SEA,SF,8,Sun,4:25PM,1,12.40%,-3.0,10,7.0
2020,SF,SEA,8,Sun,4:25PM,0,12.10%,3.0,-10,-7.0
2020,TB,NYG,8,Mon,8:15PM,0,27.20%,-12.0,2,-10.0
2020,TEN,CIN,8,Sun,1:00PM,0,8.10%,-5.5,-11,-16.5
