Game,EGO,Spread,Spread Target,Pick
GB @ SF,-1.76,-5.5,"[0.5, -2.0]",
BAL @ IND,-1.43,-2.5,"[-0.0, -2.5]",IND
CAR @ KC,-8.94,10.5,"[12.5, 10.5]",CAR
CHI @ TEN,-4.44,5.5,"[8.0, 6.0]",
DEN @ ATL,-4.31,4.0,"[3.0, 0.5]",
DET @ MIN,-1.94,4.0,"[5.5, 3.5]",DET
HOU @ JAX,0.99,-7.0,"[-2.5, -4.5]",
NYG @ WAS,-2.0,3.0,"[5.5, 3.5]",
SEA @ BUF,0.54,-2.5,"[-2.0, -4.0]",BUF
LV @ LAC,-3.45,1.5,"[2.0, -0.0]",LAC
MIA @ ARI,-4.08,5.0,"[8.0, 5.5]",
PIT @ DAL,6.14,-13.5,"[-7.5, -10.0]",
NO @ TB,-4.03,5.5,"[7.5, 5.5]",NO
NE @ NYJ,2.1,-7.0,"[-3.5, -6.0]",
