Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
ARI,2,2012,13.5,47.0,2,15.5,1,0,0,0,NWE,100.0,56.0,32.0,22.0,98.0,58.0,26.0,72.0,50.0,50.0,60.0,80.0,18.0,43.0,42.0,88.0,1,0,0,100.0,84.0,80.0,40.0,57.0,82.0,93.0,95.0,83.0,50.0,42.0,35.0,58.0,56.0,73.0,43.0,62.0,64.0,72.0,25.0,40.0,80.0,82.0,95.0,50.0,35.0
ATL,2,2012,-3.0,50.5,6,3.0,1,1,0,0,DEN,100.0,76.0,42.0,81.0,47.0,41.0,62.0,5.0,47.0,12.0,60.0,80.0,40.0,23.0,77.0,45.0,0,0,0,100.0,69.0,60.0,100.0,40.0,45.0,69.0,65.0,92.0,55.0,45.0,58.0,21.0,62.0,89.0,48.0,72.0,24.0,60.0,50.0,100.0,60.0,45.0,65.0,55.0,58.0
BAL,2,2012,3.0,47.0,-1,2.0,1,0,0,0,PHI,100.0,100.0,37.0,95.0,73.0,56.0,32.0,80.0,72.0,25.0,80.0,40.0,61.0,36.0,84.0,65.0,1,0,0,100.0,52.0,60.0,40.0,63.0,76.0,45.0,52.0,34.0,83.0,100.0,100.0,79.0,40.0,100.0,100.0,48.0,100.0,100.0,62.0,40.0,60.0,76.0,52.0,83.0,100.0
BUF,2,2012,-3.0,45.0,18,15.0,1,1,0,0,KAN,0.0,18.0,42.0,78.0,37.0,50.0,92.0,0.0,51.0,88.0,0.0,100.0,100.0,42.0,36.0,34.0,0,0,0,0.0,24.0,40.0,20.0,57.0,77.0,57.0,60.0,50.0,55.0,3.0,23.0,58.0,53.0,19.0,59.0,95.0,38.0,53.0,88.0,20.0,40.0,77.0,60.0,55.0,23.0
CAR,2,2012,3.0,54.0,8,11.0,1,1,0,0,NOR,0.0,40.0,11.0,64.0,85.0,70.0,8.0,64.0,59.0,75.0,40.0,40.0,0.0,35.0,77.0,93.0,0,0,0,0.0,37.0,60.0,40.0,36.0,12.0,59.0,23.0,49.0,91.0,0.0,17.0,0.0,50.0,28.0,37.0,5.0,80.0,29.0,88.0,40.0,60.0,12.0,23.0,91.0,17.0
CHI,2,2012,5.5,51.0,-13,-7.5,-1,0,1,0,GNB,100.0,82.0,79.0,63.0,48.0,69.0,32.0,92.0,65.0,0.0,60.0,60.0,56.0,71.0,86.0,23.0,1,1,0,0.0,37.0,40.0,80.0,36.0,19.0,25.0,5.0,65.0,71.0,11.0,66.0,37.0,43.0,38.0,57.0,55.0,88.0,39.0,62.0,80.0,40.0,19.0,5.0,71.0,66.0
CIN,2,2012,-7.0,39.5,7,0.0,0,1,0,0,CLE,0.0,0.0,63.0,27.0,5.0,44.0,20.0,68.0,28.0,75.0,60.0,20.0,64.0,39.0,35.0,16.0,0,0,0,0.0,48.0,60.0,40.0,55.0,48.0,37.0,24.0,0.0,0.0,66.0,17.0,21.0,0.0,60.0,0.0,0.0,52.0,0.0,38.0,40.0,60.0,48.0,24.0,0.0,17.0
CLE,2,2012,7.0,39.5,-7,0.0,0,0,0,0,CIN,0.0,48.0,21.0,0.0,60.0,0.0,0.0,52.0,0.0,38.0,40.0,60.0,48.0,24.0,0.0,17.0,1,0,0,0.0,0.0,20.0,60.0,57.0,64.0,33.0,39.0,45.0,35.0,11.0,16.0,63.0,27.0,5.0,44.0,20.0,68.0,28.0,75.0,60.0,20.0,64.0,39.0,35.0,16.0
DAL,2,2012,-3.0,43.0,-20,-23.0,-1,0,0,0,SEA,100.0,61.0,74.0,100.0,65.0,85.0,44.0,68.0,83.0,50.0,60.0,60.0,72.0,61.0,76.0,68.0,1,0,0,0.0,44.0,40.0,20.0,40.0,57.0,79.0,82.0,43.0,12.0,51.0,58.0,68.0,2.0,78.0,42.0,28.0,74.0,50.0,50.0,20.0,40.0,57.0,82.0,12.0,58.0
DEN,2,2012,3.0,50.5,-6,-3.0,-1,0,0,0,ATL,100.0,69.0,21.0,62.0,89.0,48.0,72.0,24.0,60.0,50.0,100.0,60.0,45.0,65.0,55.0,58.0,1,0,0,100.0,76.0,80.0,60.0,43.0,40.0,43.0,23.0,97.0,77.0,50.0,45.0,42.0,81.0,47.0,41.0,62.0,5.0,47.0,12.0,60.0,80.0,40.0,23.0,77.0,45.0
DET,2,2012,7.0,46.0,-8,-1.0,-1,0,0,0,SFO,100.0,56.0,47.0,70.0,76.0,25.0,52.0,68.0,86.0,88.0,80.0,80.0,39.0,64.0,100.0,74.0,1,0,0,100.0,63.0,20.0,60.0,75.0,95.0,64.0,81.0,89.0,34.0,35.0,29.0,68.0,62.0,57.0,43.0,12.0,45.0,61.0,38.0,60.0,20.0,95.0,81.0,34.0,29.0
GNB,2,2012,-5.5,51.0,13,7.5,1,1,1,0,CHI,0.0,37.0,37.0,43.0,38.0,57.0,55.0,88.0,39.0,62.0,80.0,40.0,19.0,5.0,71.0,66.0,0,1,0,100.0,82.0,60.0,60.0,40.0,56.0,49.0,71.0,70.0,86.0,65.0,23.0,79.0,63.0,48.0,69.0,32.0,92.0,65.0,0.0,60.0,60.0,56.0,71.0,86.0,23.0
