Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,CHI,2006,6,1,13,-32,-60.7,-11.63,1.37,28,100,-7.366949924,-0.157361021,42,72,-11.11263355,-0.360109217,6,91,-4.290748253,-0.666592361,46,29,2.87296874,-0.953436938,58,87,3.128475961,0.393194532,37,71,7.579129383,0.785447661,-9.73,1,-1,12,1
ATL,NYG,2006,6,1,-3,8.2,4.3,3.2,0.2,42,72,-0.414352256,-0.838192712,59,7,21.19904762,-0.910175875,100,81,-13.00783784,-0.282727567,97,37,-31.06519751,-0.999269716,5,40,6.597298507,-0.520422393,60,83,-30.35387387,-0.665335356,-29.33,-1,-13,-16,-1
BAL,CAR,2006,6,1,-3,18,12.2,4.89,1.89,72,74,-0.557773614,-0.683756078,84,28,0.942745843,0.032684332,22,48,1.223525123,-0.217246968,93,30,1.068525989,-0.012316841,32,60,-3.942809744,0.769291181,95,36,-0.245162999,-0.453607649,1.67,-1,-2,-5,-1
BUF,DET,2006,6,0,-1,-8.1,4.9,-1.2,-2.2,50,32,4.31721833,-0.715116656,58,6,6.729404024,-0.477138243,26,72,-4.181084142,0.096073868,56,0,9.499881306,-0.322141272,27,19,4.052604374,-0.202075874,64,69,-9.346949153,-0.385292048,4.97,1,-3,-4,-1
CAR,BAL,2006,6,0,3,5.8,-12.2,-4.89,-1.89,28,84,-1.0755767,-0.910942259,74,72,1.837616091,0.342453057,30,93,-2.872974408,-0.458037389,48,22,0.014044321,-0.496998483,36,95,-3.016225633,-0.420735646,60,32,3.570712291,-0.479109643,-6.11,-1,2,5,1
CHI,ARI,2006,6,0,-13,28.7,60.7,11.63,-1.37,72,42,20.83181992,-0.626446257,100,28,15.4793369,0.532690895,29,46,17.94912351,-0.065993167,91,6,19.6811391,-0.26563606,71,37,16.09697574,0.024302708,87,58,13.34989418,-0.749026315,49.73,1,1,-12,-1
CIN,TAM,2006,6,0,-5,15.6,33.1,5.13,0.13,42,86,-27.70662424,-0.996657075,33,21,-10.12546559,0.066139045,28,9,16.00867452,-0.495573782,27,11,18.07728896,-0.998445959,48,82,104.9415232,0.955720385,60,46,3.293785851,-0.724266383,105.51,1,-1,-6,-1
DAL,HOU,2006,6,1,-13,13.2,41.3,10.93,-2.07,56,33,-40.86208333,0.962364073,66,28,13.48609727,-0.952723028,50,31,12.58249793,-0.602886799,92,9,16.40295082,-0.183269755,49,0,-26.81082524,0.565029483,51,44,16.29158576,-0.99704694,-3.86,-1,28,15,1
DEN,OAK,2006,6,1,-16,8.1,34.9,9.62,-6.38,14,0,-10.62909677,0.996801256,99,0,-2.262096466,0.895943289,47,21,-2.704834938,0.76957357,63,34,7.526299213,0.504835582,26,96,6.627807136,-0.55126609,61,0,5.615061392,0.20435964,3.52,-1,10,-6,-1
DET,BUF,2006,6,1,1,-13,-4.9,1.2,2.2,6,58,0.35714876,-0.907039782,32,50,-8.254131247,-0.808771034,0,56,-3.451495125,-0.778196105,72,26,-7.942142857,0.119120355,69,64,-8.906994309,-0.556948771,19,27,-3.63244143,-0.119294708,-14.18,-1,3,4,1
